趙紀.	kỷ nhà triệu .
武帝.	vũ đế .
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
[趙氏,因秦衰乱,殺秦長吏,㨿有領南之地,称帝,𭁈漢抗衡,享國傳祚百年而後亡,亦英䧺之英也].	họ triệu , nhân lúc nhà tần suy loạn , giết trưởng lại tần , chiếm giữ đất lĩnh nam , xưng đế , đòi ngang với nhà hán , hưởng nước truyền ngôi một trăm năm mới mất , cũng là bậc vua anh hùng .
姓趙諱它,漢真定人也,建都番禺[今在廣東是也].	họ triệu , tên huý là đà , người huyện chân định nước hán , đóng đô ở phiên ngung ( nay ở tỉnh quảng đông ) .
甲午,元年,[秦二世三年].	giáp ngọ , năm thứ nhất , ( tần nhị thế năm thứ ba ) .
帝併有林邑,象郡之地,自立爲南帝王.	vua chiếm lấy đất lâm ấp và tượng quận , tự lập làm nam việt vương .
乙未,二年,[西楚覇王項籍元年,漢王劉󰘊元年].	ất mùi , năm thứ hai , ( tây sở bá vương hạng tịch năm thứ nhất ; hán vương lưu bang năm thứ nhất ) .
是歲秦亡.	năm ấy nhà tần mất .
丁酉,四年,[楚項籍三年;冬,十月,晦,日食十一月,晦,日食.	đinh dậu , năm thứ bốn , ( sở hạng tịch năm thứ ba ; hán lưu bang năm thứ ba ) .
戌五年楚項籍四年,漢劉󰘊四年.	mậu tuất , năm thứ năm , ( sở hạng tịch năm thứ bốn ; hán lưu bang năm thứ bốn ) .
秋,七月,有星孛于大角.	mùa thu , tháng bảy , sao chổi mọc ở khu vực sao đại giác .
几亥,六年[漢髙帝五年].	kỷ hợi , năm thứ sáu , ( hán cao đế năm thứ năm ) .
春,二月,漢王即皇帝位.	mùa xuân , tháng hai , hán vương lên ngôi hoàng đế .
是歳西楚亡.	năm ấy tây sở mất .
癸卯,十年[漢髙帝九年].	quý mão , năm thứ mười , ( hán cao đế năm thứ chín ) .
帝令二使典主交趾,九真二郡.	vua sai hai sứ coi giữ hai quận giao chỉ và cửu chân .
漢即定天下,聞帝亦已王越,因遣陸賈往拜帝爲南越王,授壐綬剖符通使,使和集百粤,毋爲冦災.	ất tỵ , năm thứ mười hai , ( hán cao đế năm thứ mười một ) nhà hán đã định được thiên hạ , nghe tin vua cũng đã xưng vương ở nước việt , mới sai lục giả sang phong vua làm nam việt vương , trao cho ấn thao và con so bổ đôi , thông sứ với nhau , bảo vua giữ yên đất bách việt , chớ cướp phá .
使者至,帝踞見賈.	khi sứ đến , vua ngồi xổm mà tiếp lục giả .
