為	làm việc,vị,vy,vi
誰	thùy,ai
緣	duyên,duyến
該	định,cai
寶	qúy báu,báu,bửu,bảo
千	ngàn,thiên,chung thân
義	nghĩa,điều lấy sự hiếu nghĩa
強	mạnh,cưỡng,cường
正	sửa,chính,ngay thẳng,chánh,chinh
納	nạp,xỏ
燬	chê bai,hủy,hủy
詩	thi
余	nhiều,dư thừa,xà,dư
敬	kính trọng,cung kính,kính
存	còn,tồn,giữ
景	ảnh,cảnh
饒	tha lỗi,tha thứ,khoan dung,nhiêu
如	như,bằng
違	làm trái,trái nghịch,tránh,vi,vy
憂	buồn rầu,ưu,lo âu,lo
崩	băng,núi lở
宗	dòng họ,tôn,tông
忠	trung,trung thành
理	lí,lẽ,lý
司	ty,quan,tư,ti
籍	tạ,sách vở,tịch
君	quân,quân vương,vua
虧	khuy,bớt đi
運	vận,thời vận
必	đi ắt phải,ắt,tất,sẽ
恥	sỉ,hổ thẹn
品	phẩm
勢	thế lực,thế
蒼	thưởng,thương,màu xanh,xanh
免	vấn,tránh,thoát,miễn
記	ghi nhớ,ký,kí
孝	hiếu thảo với,hiếu,hiếu thảo
節	tiệt,tiết,tiết tháo
咬	giao,yêu,ăn,giảo
益	phước báo,ích,hữu ích,lợi ích
病	bệnh
哀	ai,thương
nan	nan
損	hại,tổn,mòn
好	hiếu,hảo,tốt
諭	dụ
過	qua,của,qúa
盛	thành,thình,tốt tươi,thịnh,thạnh
勸	khuyến,khuyên
諦	đề,đế,kỹ
富	phú,giàu
晉國	nước tấn
恩	ân
欺	khinh,khi
徐孝徐	từ tiết hiếu
昊	hạo,mênh mông
食	cơm,việc ăn uống,thực,tự
尊	tôn,tôn trọng
勇	ham,đánh nhau,dũng
凶	tai họa,xấu,hung
甚	gì,thậm
水	thủy,nước
清	thanh khiết,thanh tịnh,thanh,sảnh
先	trước,tiến,tiên
莊子	trang tử
聽	thính,nghe,thinh
事	sự,phụng sự,việc
廣	quáng,quảng,khoát,rộng
蔡伯皆	thái bá giai
謂	gọi là,đó gọi là đó,vị,là
迂	vu,suy nghĩ xa xôi
謀	mưu
寒	rét,hàn
長	tràng,trưởng,trướng,nó lớn,bậc lớn,sở trường,trượng,trường
蕙	huệ
親	thấn,cha mẹ,thân
父	cha,phủ,phụ
也	giả,dã,giã,cũng
麼	làm gì,ma
志	chí,ý chí
篇	thiên
問	hỏi,vấn
其	ký,kì,của,kí,ky,nó,kỳ,ki,cơ,cái
改	sửa đổi,cải
觀	quan,quán,xem,xem chuyện
循	tuần,noi theo
和	hồ,hòa nhã,hòa,họa
鞠	cúc,nuôi
作	làm,tác,tá
負	phụ
默	làm thinh,mặc,yên lặng,yên tĩnh,tĩnh
園	vườn,viên
下	hạ,há
失	thất,lỗi,mất,lầm lỗi
恒	cắng,hằng,bình thường,căng
知	biết,trí,tri
鄉	hưởng,hướng,hương,làng xóm
使	sứ,sử,bảo
門	cửa,môn
止	chi,chỉ,dừng
電	điện,tia chớp
身	mình,thân mình,quyên,thân
眼	mắt,nhãn,nhẫn
逆	nghịch lại,nghịch,nghịnh
休	nghỉ ngơi,hưu,hu
淨	tịnh
口	khẩu,miệng
世	thế,thế gian,đời
貪	ái mộ,tham,tham vọng
愼	thận trọng,thận,cẩn thận
啄	miếng ăn,trụ,trác
顧	phụng dưỡng,cố
告	cốc,nói,cáo
十	nan,thập,mười
