Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
漢即定天下,聞帝亦已王越,因遣陸賈往拜帝爲南越王,授壐綬剖符通使,使和集百粤,毋爲冦災.	ất tỵ , năm thứ mười hai , ( hán cao đế năm thứ mười một ) nhà hán đã định được thiên hạ , nghe tin vua cũng đã xưng vương ở nước việt , mới sai lục giả sang phong vua làm nam việt vương , trao cho ấn thao và con so bổ đôi , thông sứ với nhau , bảo vua giữ yên đất bách việt , chớ cướp phá .
春,二月,漢王即皇帝位.	mùa xuân , tháng hai , hán vương lên ngôi hoàng đế .
[趙氏,因秦衰乱,殺秦長吏,㨿有領南之地,称帝,𭁈漢抗衡,享國傳祚百年而後亡,亦英䧺之英也].	họ triệu , nhân lúc nhà tần suy loạn , giết trưởng lại tần , chiếm giữ đất lĩnh nam , xưng đế , đòi ngang với nhà hán , hưởng nước truyền ngôi một trăm năm mới mất , cũng là bậc vua anh hùng .
武帝.	vũ đế .
乙未,二年,[西楚覇王項籍元年,漢王劉󰘊元年].	ất mùi , năm thứ hai , ( tây sở bá vương hạng tịch năm thứ nhất ; hán vương lưu bang năm thứ nhất ) .
帝併有林邑,象郡之地,自立爲南帝王.	vua chiếm lấy đất lâm ấp và tượng quận , tự lập làm nam việt vương .
秋,七月,有星孛于大角.	mùa thu , tháng bảy , sao chổi mọc ở khu vực sao đại giác .
姓趙諱它,漢真定人也,建都番禺[今在廣東是也].	họ triệu , tên huý là đà , người huyện chân định nước hán , đóng đô ở phiên ngung ( nay ở tỉnh quảng đông ) .
賈曰:"王本.	giả nói : " vương vốn là
几亥,六年[漢髙帝五年].	kỷ hợi , năm thứ sáu , ( hán cao đế năm thứ năm ) .
甲午,元年,[秦二世三年].	giáp ngọ , năm thứ nhất , ( tần nhị thế năm thứ ba ) .
癸卯,十年[漢髙帝九年].	quý mão , năm thứ mười , ( hán cao đế năm thứ chín ) .
戌五年楚項籍四年,漢劉󰘊四年.	mậu tuất , năm thứ năm , ( sở hạng tịch năm thứ bốn ; hán lưu bang năm thứ bốn ) .
是歲秦亡.	năm ấy nhà tần mất .
丁酉,四年,[楚項籍三年;冬,十月,晦,日食十一月,晦,日食.	đinh dậu , năm thứ bốn , ( sở hạng tịch năm thứ ba ; hán lưu bang năm thứ ba ) .
帝令二使典主交趾,九真二郡.	vua sai hai sứ coi giữ hai quận giao chỉ và cửu chân .
是歳西楚亡.	kỷ nhà triệu .
使者至,帝踞見賈.	khi sứ đến , vua ngồi xổm mà tiếp lục giả .
趙紀.	
	năm ấy tây sở mất .

Paragraph 1
"賈曰""漢帝繼五帝三王之業,綂理乎漢人以億萬計,地方萬里,物殷民富,政由一家,開闢以來,未之有也.	giả nói : " hán đế nối nghiệp của ngũ đế tam vương , thống trị người hán kể hàng ức vạn người , đất rộng hàng muôn dặm , vật thịnh dân giàu , quyền chính chỉ do một nhà , từ khi trời đất mở mang đến nay chưa từng có .
五年之間,󰰻乱反正,平定四海,此非人力,殆天𭁈也.	trong khoảng năm năm , dẹp yên loạn lạc , bình định bốn biển , đó không phải là sức người làm nổi , tức là trời cho .
漢人,親戚墳墓皆在于漢,今反本俗,欲㨿於此典漢抗衡爲敵,𡸈不謬哉?	người hán , họ hàng mồ mả đều ở nước hán , nay lại làm trái tục nước mình , muốn chiếm đất này làm kẻ địch chống chọi với nhà hán , há chẳng lầm hay sao ?
漢帝聞王王此,常欲一决勝負,以百姓新勞苦故罷之,遣使奉其印綬遣王,王宜郊迎拜謁示其敬也.	hán đế nghe vương làm vua ở đất này , từng muốn quyết một phen được thua , nhưng vì dân chúng lao khổ vừa xong cho nên phải bỏ ý định , sai sứ mang ấn thao cho vương , đáng lẽ vương phải ra ngoài giao nghênh đón bái yết để tỏ lòng tôn kính .
天子聞之𭛁兵問罪,則王将如之何?	thiên tử nghe biết , phát binh sang hỏi tội , thì vương làm thế nào ?
