左 傳 云 : 子 罕 曰 我 以 不 貪 為 寶 爾 以 玉 為 寶 若 以 與 我 皆 喪 寶 也 不 若 人 有 其 寶 。	Sách Tả Truyện viết : Ông Tử-Hãn nói : ta lấy “không tham” làm báo vật, ông lấy “ngọc” làm báo vật.
後 漢 書 云 : 故 舊 長 者 或 欲 令 為 開 產 業 震 曰 使 後 世 稱 為 清 白 吏 子 孫 以 此 遺 之 不 亦 厚 乎 。	Như lấy hai thứ cho ta thì chỉ làm (ta) mất bảo vật. Chẳng bằng mỗi người (tự) giữ lấy bảo vật (của mình). Sách Hậu Hán Thư viết : Bạn cũ và người lớn có lẽ muốn khuyên để lại sản-nghiệp, Chấn nói : hãy để người đời sau gọi chúng là con cháu của quan thanh liêm, lấy điều đó để lại chẳng phải là tốt đẹp hơn sao ?.
晉 書 云 : 州 之 北 界 有 水 名 曰 貪 泉 父 老 云 飲 此 水 者 使 廉 士 變 節 隱 之 始 踐 境 先 至 水 所 酌 而 飲 之 因 賦 詩 曰 古 人 云 此 水 一 歃 懷 千 金 試 使 夷 齊 飲 終 當 不 易 心 。	Sách Tấn Thư viết : Ở hướng bắc (Quảng) Châu có con suối tên “Tham-Tuyền”, phụ lão ở đó truyền miệng nhau rằng uống nước ở suối ấy sẽ khiến kẻ sĩ thanh liêm biến đổi khí tiết. (Ngô) Ẩn vừa đến cương giới (Quảng Châu), trước đến suối đó rót nước lên uống, nhân đó viết bài thờ rằng : “ người xưa nói uống một ngụm nước nhớ đến ngàn vàng, thí như để ông Bá-Di, Thúc-Tề uống hết thì họ cũng chẳng biến đổi lòng dạ.” Sách Hậu Hán Thư viết : Trung-thần không có lòng tư, có lòng tư không phải là trung-thần.
後 漢 書 云 : 忠 臣 不 私 私 臣 不 忠 履 正 奉 公 臣 子 之 節 。	Hành vi chánh đáng, làm theo công bằng, đó là phẩm hạnh của thần-tử.
政 要 論 云 : 若 託 物 以 風 喻 微 生 而 不 切 不 切 則 不 改 唯 正 諫 直 諫 可 以 補 缺 也 。	Sách Chính Yếu Luận viết : Lấy sự vật để ẩn dụ thì khó hiểu và không thiết thực, không thiết thực thì không thể sửa đổi.
尸 子 云 : 國 之 所 以 不 治 者 三 不 知 用 賢 此 其 一 也 雖 知 用 賢 求 不 能 得 此 其 二 也 雖 得 賢 不 能 盡 此 其 三 也 。	Chỉ có can gián đúng, can gián thẳng mới có thể bù vào khuyết điểm đó. Sách Thi Tử viết : Quốc gia sở dĩ không an trị có ba lỗi. Chẳng biết dùng người hiền đó là lỗi thứ nhất, tuy biết dùng người hiền nhưng tìm không thấy đó lỗi thứ hai, tuy có được người hiền nhưng không biết tận dụng hết tài năng của họ đó là lỗi thứ ba.
墨 子 云 : 子 墨 子 曰 今 者 王 公 大 人 為 政 於 國 家 者 皆 欲 國 家 之 富 人 民 之 眾 刑 政 之 治 然 而 不 得 是 其 故 何 也 是 在 王 公 大 人 為 政 於 國 家 者 不 能 以 尚 賢 事 能 為 政 也 是 故 國 有 賢 良 之 士 眾 則 國 家 之 治 厚 故 大 人 之 務 將 在 於 眾 賢 而 已	Sách Mặc Tử viết : Thầy Mặc-Tử nói : thời nay bậc vương-công, đại-nhân làm chính trị quốc-gia đều muốn nước giàu, dân đông, luật pháp an trị thế mà chẳng đạt được vậy nguyên do là gì ?. Đó là tại bậc vương-công, đại-nhân làm chính trị đất nước chẳng coi trọng người hiền, còn làm được thì có thể làm chính trị vậy.
後 漢 書 云 : 古 者 取 士 諸 侯 歲 貢 孝 武 之 世 郡 舉 孝 廉 又 有 賢 良 文 學 之 選 於 是 名 臣 輩 出 文 武 並 興 漢 之 得 人 數 路 而 已 。	Cho nên nước nhiều kẻ sĩ tài giỏi thì được an trị vững vàng. Nên bậc đại-nhân nên lo tìm nhiều người hiền mà thôi. Sách Hậu Hán Thư viết : Xưa kia việc lựa chọn kẻ sĩ là của chư-hầu, họ cống nạp hàng năm. Thời vua Hiếu-Vũ các quận tiến cử người hiếu-liêm, lại có tuyển các bậc học giả tài giỏi. Thế nên các bậc danh-thần tiếp nhau xuất hiện, chính trị và quân sự phát triển hưng vượng. Nhà Hán có được nhiều người tài giỏi là theo đường lối đó mà thôi.
晏 子 云 : 景 公 問 晏 子 曰 忠 臣 之 行 何 如 對 曰 選 賢 進 能 不 私 乎 內 稱 身 就 位 計 能 受 祿 睹 賢 不 居 其 上 受 祿 不 過 其 量 不 權 君 以 為 行 不 稱 位 以 為 忠 不 掩 賢 以 隱 長 不 刻 下 以 諛 上 順 即 進 否 即 退 不 與 君 行 邪 。	Sách Yến Tử viết : (Tề) Cảnh-Công hỏi ông Yến-Tử rằng : trung-thần làm việc như thế nào ?. Yến-Tử đáp : thưa tuyển người hiền, tiến cử người giỏi, không tư lợi ở trong. Thân xứng theo chức vị, có năng lực thì nhận bỗng lộc. Thấy người hiền không dám ở cao, nhận bổng lộc không vượt quá hạn lượng, không lấn quyền vua để làm việc, không khen chức vị để cho là trung, không che dấu tài của người hiền, không hiếp đáp dưới để a dua trên.
左 傳 云 : 飲 桓 公 酒 樂 公 曰 以 火 繼 之 辭 曰 臣 卜 其 晝 未 卜 其 夜 不 敢 君 子 曰 酒 以 成 禮 不 繼 以 淫 義 也 以 君 成 禮 弗 納 於 淫 仁 也 。	Thuận lợi thì tiến (làm quan), không được thì thoái (từ quan), không cùng vua làm việc gian tà. Sách Tả Truyện viết : Tề-Hoàn-Công uống rượu vui (đến tối) nói rằng : hãy thắp đèn lên, (ông Kính-Trọng) trách rằng : thần bốc quẻ vào bàn ngày, chưa từng bốc quẻ vào ban đêm nên chẳng dám làm thế. Người quân-tử nói : “uống rượu để thành lễ, không uống liên tiếp để quá phép”. Để vua uống rượu thành lễ, không dẫn vua uống quá mức đến mất cảm giác.
晉 書 云 : 夫 推 讓 之 風 息 爭 競 之 心 生 矣 孔 子 曰 上 興 讓 則 下 不 爭 明 讓 不 興 下 必 爭 也 推 讓 之 道 興 賢 能 之 人 日 見 推 舉 爭 競 之 心 生 賢 能 之 人 日 見 謗 毀 夫 爭 者 之 欲 自 先 甚 惡 能 者 之 先 不 能 無 毀 也 。	Sách Tấn Thư viết : Phong trào khen ngợi tính khiêm nhượng nghỉ, thì lòng tranh đua sẽ nảy sinh. Đức Khổng-Tử nói : “ trên hưng khởi tính khiêm nhượng thì dưới không tranh”.
