第 二 篇 臣 道	THIÊN THỨ 2 : THẦN ĐẠO
吳 志 云 : 歷 觀 古 今 功 名 之 士 皆 有 積 累 殊 異 之 跡 勞 身 苦 體 契 闊 勤 思 平 居 不 惰 其 業 窮 困 不 易 其 素 。	Sách Ngô Chí viết : Quán sát lịch sử xưa nay, kẻ sĩ có được công-danh đều có tích lũy những vết tích rất khác thường. Lao thân, khổ thể, nhọc nhằn, lo nghĩ, ăn ở bình thường, không lười biếng trong sự nghiệp, gặp cảnh khốn cùng không đổi (chí hướng) ban đầu.
潛 夫 論 云 : 夫 賢 者 之 為 人 臣 不 損 君 以 奉 佞 不 阿 眾 以 取 容 不 墮 公 以 聽 私 不 撓 法 以 吐 剛 其 明 能 照 奸 而 義 不 比 黨 。	Sách Tiềm Phu Luận viết : Người hiền làm bề tôi, chẳng làm tổn hại vua để nịnh nọt vâng theo, chẳng hùa theo đại chúng để có chốn dung thân, chẳng lật đỗ công bằng để nghe theo ý riêng, chẳng bẻ cong pháp luật để vừa lòng kẻ mạnh, lấy sự sáng suốt chiếu gọi kẻ gian trá, theo đạo nghĩa chẳng kết bè đảng.
後 漢 書 云 : 楊 震 字 伯 起 弘 農 人 也 遷 東 萊 太 守 道 經 昌 邑 故 所 舉 茂 才 王 密 為 昌 邑 令 謁 見 至 夜 懷 金 十 斤 以 遺 震 震 曰 故 人 之 君 君 不 知 故 人 何 也 密 曰 暮 夜 無 知 者 震 曰 天 知 神 知 我 知 子 知 何 謂 無 知 。	Sách Hậu Hán Thư viết : Dương-Chấn, tên tự là Bá-Khởi, người ở đất Hoằng-Nông. Được thiên chuyển làm quan thái-thú ở đất Đông-Lai, trên đường đi nhậm chức ông có ghé qua đất Xương-Ấp. Xưa kia có tiến cử vị tú-tài tên Vương-Mật hiện làm quan huyện-lệnh ở đất Xương-Ấp, (Vương-Mật) đến thăm hỏi vào buổi tối, ôm 10 cân vàng đến tặng Chấn. Chấn nói : “là bạn cũ của nhau, ông chẳng hiểu ta sao ?” Mật nói : “chiều tối rồi không ai biết đâu”, Chấn nói : “ Trời biết, thần biết, tôi biết, ông biết sao lại cho là không ai biết ? ”.
後 漢 書 云 : 昔 者 晉 平 公 問 於 叔 向 曰 國 家 之 患 孰 為 大 對 曰 大 臣 重 祿 不 極 諫 小 臣 畏 罪 不 敢 言 下 情 不 上 通 此 患 之 大 者 。	Sách Hậu Hán Thư viết : Xưa kia Tấn-Bình-Công hỏi ông Thúc-Hướng rằng : mối hại của quốc gia thế nào là lớn ? Thúc-Hướng đáp : thưa quan lớn coi trọng bổng lộc chẳng can gián tới cùng, quan nhỏ sợ tội chẳng dám nói, sự tình bên dưới trên không thông, đó là mối hại lớn.
說 苑 云 : 人 臣 之 行 有 六 正 則 榮 犯 六 邪 則 辱 。 亡 國 之 臣 賊 臣 讒 臣 姦 臣 諛 臣 具 臣 直 臣 貞 臣 智 臣 忠 臣 良 臣 聖 臣	Sách Thuyết Uyển viết : Người làm bề tôi hành lục-chánh thì vinh, phạm lục-tà thì nhục.
孝 經 云 : 子 曰 君 子 之 事 上 也 進 思 盡 忠 退 思 補 過 將 順 其 美 匡 救 其 惡 故 上 下 能 相 親 也 。	Sách Hiếu Kinh viết : Đức Khổng Tử nói : Người quân-tử phụng sự trên, lúc tiến (làm quan) suy nghĩ tận hết lòng trung, khi thoái (về hưu) thì tu sửa lỗi lầm, giúp người thuận theo điều tốt đẹp, sửa ngăn việc xấu ác. Nên trên dưới hay thân yêu lẫn nhau vậy.
論 語 云 : 孔 子 曰 侍 於 君 子 有 三 愆 言 未 及 之 而 言 謂 之 躁 言 及 之 而 不 言 謂 之 隱 未 見 顏 色 而 言 謂 之 瞽 。	Sách Luận Ngữ viết : Đức Khổng Tử nói : Kẻ hầu người quân-tử có 3 sai lầm, lúc chưa cần nói mà nói gọi là hấp tấp, lúc cần nói mà không nói gọi là ẩn dấu, chưa xem vẻ mặt mà nói gọi là mù quáng.
晏 子 云 : 景 公 問 晏 子 曰 忠 臣 之 事 君 何 若 對 曰 有 難 不 死 出 亡 不 送 公 不 悅 曰 君 裂 地 而 富 之 疏 爵 而 貴 之 有 難 不 死 出 亡 不 送 其 說 何 也 對 曰 言 而 見 用 終 身 無 難 臣 何 死 焉 謀 而 見 從 終 身 不 出 亡 臣 何 送 焉 若 言 不 用 有 難 而 死 是 妄 死 也 謀 而 不 從 出 亡 而 送 是 詐 偽 也 忠 臣 也 者 能 納 善 於 君 而 不 與 君 陷 於 難 者 也 。	Sách Yến Tử viết : Tề-Cảnh-Công hỏi Yến-Tử rằng : trung-thần phụng sự vua như thế nào ?, Yến-Tử đáp : thưa vua có nạn không chết theo, vua chạy trốn không đi theo. Tề-Cảnh-Công không vui lòng nói : vua chia đất được giàu, phong tước được quý, khi vua có nạn không chết theo, vua chạy trốn không đi theo thì giải thích ra sao ?. Yến-Tử đáp : thưa bề tôi khuyên mà vua tin dùng thì suốt đời không nạn, thế bề tôi chết theo để làm gì ?, kế sách của bề tôi mà vua làm theo thì suốt đời chẳng chạy trốn, thế bề tôi đi theo làm gì ?. Còn khuyên can vua chẳng tin dùng, vua có nạn mà chết theo đó là cái chết không đáng dâng kế sách mà vua chẳng làm theo, vua chạy trốn mà đi theo đó là lừa dối. Là trung-thần nên dâng điều tốt cho vua, chẳng (nên) cùng vua rơi vào chổ hiểm nạn vậy.
孔 子 家 語 云 : 子 曰 汝 聞 用 力 為 賢 乎 進 賢 為 賢 乎 子 貢 曰 進 賢 賢 哉 子 曰 然 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói : Trò nghe người dùng sức làm việc là tốt , hay tiến cử người hiền là tốt ?. thầy Tử-Cống đáp : thưa việc tiến cử người hiền là tốt nhất. Đức Khổng-Tử nói : đúng thế.
韓 子 云 : 忠 臣 之 舉 賢 也 不 避 仇 讎 其 廢 不 肖 也 不 阿 親 近 。	Sách Hàn Tử viết : Trung-thần tiến cử người hiền không tránh khỏi cảnh kết cừu thù, còn phế bỏ kẻ bất tài thì không bênh vực người thân cận.
