後 漢 書 云 : 貧 賤 之 知 不 可 忘 糟 糠 之 妻 不 下 堂 。	Sách Hậu Hán Thư viết : Lúc nghèo hèn quen biết không thể quên đi.
體 論 云 : 天 地 有 紀 矣 不 誠 則 不 能 化 育 君 臣 有 義 矣 不 誠 則 不 能 相 臨 父 子 有 禮 矣 不 誠 則 疏 夫 妻 有 恩 矣 不 誠 則 離 交 接 有 分 矣 不 誠 則 絕 以 義 應 當 曲 得 其 情 其 唯 誠 乎 。	Người vợ tào-khang không thể hắt hủi. Sách Thể Luận viết : Trời đất có kỷ cương, chẳng chân thành thì không thể giáo hóa, nuôi dưỡng vạn vật. Vua tôi có nghĩa, chẳng chân thành thì không thể làm việc cùng. Cha con có lễ, chẳng chân thành thì xa cách. Vợ chồng có ân, chẳng chân thành thì ly biệt. Việc giao-tiếp có danh phận, chẳng chân thành thì đoạn tuyệt. Lấy đạo nghĩa để ứng xử thì thỏa đáng, thấy được tình lý của việc khúc mắt chỉ có chân thành ư !. Sách Tôn Khanh Tử viết : Người quân-tử dưỡng tâm chẳng gì tốt hơn chân thành. Đạt tới chân thành chẳng gì khác giữ gìn lòng nhân, làm việc nghĩa.
孫 卿 子 云 : 君 子 養 心 莫 善 於 誠 致 誠 無 他 唯 仁 之 守 唯 義 之 行 誠 心 守 仁 則 能 化 誠 心 行 義 則 能 變 變 化 代 興 謂 之 天 德 。	Lòng chân thành giữ gìn lòng nhân thì có thể hóa vật. Lòng chân thành làm việc nghĩa thì có thể biến vật. Biến hóa thay đổi hưng thịnh gọi là Thiên-đức (đức trời).
尚 書 云 : 作 德 心 逸 日 休 作 偽 心 勞 日 拙 。	Sách Thượng Thư viết : Làm việc đạo đức lòng thanh thản, ngày càng tốt lành.
孔 子 家 語 云 : 曾 子 曰 敢 問 何 謂 七 教 孔 子 曰 上 敬 老 則 下 益 孝 上 尊 齒 則 下 益 悌 上 樂 施 則 下 益 寬 上 親 賢 則 下 擇 友 上 好 德 則 下 無 隱 上 惡 貪 則 下 恥 爭 上 廉 讓 則 下 知 節 此 之 謂 七 教 也 七 教 者 治 民 之 本 也 政 教 定 則 本 正 矣 凡 上 者 民 之 表 也 表 正 則 何 物 不 正 。	Làm việc dối trá lòng lao khổ, ngày càng kém cỏi. Sách Khổng Tử Gia Ngữ viết : Thầy Tăng-Tử nói : xin hỏi thế nào là 7 loại giáo học ?. Đức Khổng-Tử đáp : 1.Trên kính trọng người già thì dưới càng hiếu thuận ; 2.trên tôn trọng người cao tuổi thì dưới càng hòa thuận ; 3.trên thích bố thí thì dưới càng khoan dung ; 4.trên thân cận người hiền thì dưới biết chọn bạn kết giao ; 5.trên thích đức hạnh thì dưới không ẩn dấu ; 6.trên ghét sự tham lam thì dưới xấu hổ khi tranh nhau ; 7.trên khiêm-nhượng thì dưới biết giữ tiết tháo, đó gọi là 7 loại giáo học vậy. 7 loại giáo học là gốc để trị dân, khi chính-giáo (ấy) an định thì gốc chánh vậy. Phàm trên là chuẩn mực của dân, chuẩn mực chánh thì có ai mà không chánh ?.
禮 記 云 : 子 曰 下 之 事 上 也 不 從 其 所 令 而 從 其 所 行 上 好 是 物 下 必 有 甚 矣 故 上 之 所 好 惡 不 可 不 慎 也 是 民 之 表 也 。	Sách Lễ Ký viết : Đức Khổng-Tử nói : Dưới phụng sự trên, không nên chỉ theo mệnh lệnh trên mà nên theo (ý) việc làm của trên. Trên thích vật đó thì cấp dưới hẳn thích nhiều hơn vậy. Nên việc ưa ghét của trên không thể không thận trọng.
昌 言 云 : 我 有 公 心 焉 則 士 民 不 敢 念 其 私 矣 我 有 平 心 焉 則 士 民 不 敢 行 其 險 矣 我 有 儉 心 焉 則 士 民 不 敢 放 其 奢 矣 此 躬 行 之 所 徵 者 也 。	Đó là chuẩn mực của dân vậy. Sách Xương Ngôn viết : Ta có lòng công bằng thì sĩ-dân chẳng dám có tâm niệm riêng tư. Ta có lòng bình đẳng thì sĩ-dân chẳng dám làm việc gian hiểm.
六 韜 云 : 太 公 曰 將 有 三 禮 冬 日 不 服 裘 夏 日 不 操 扇 天 雨 不 張 蓋 幕 名 曰 三 禮 也 。	Ta có lòng tiết kiệm thì sĩ-dân chẳng dám phóng túng đến xa xỉ. Việc đó mà đích thân làm thì là biểu trưng (hình mẫu) vậy. Sách Lục Thao viết : Thái-Công nói làm tướng có 3 lễ, ngày mùa đông không mặc áo lông cừu, ngày mùa hạ không dùng quạt, trời mưa không che dù (để biết nỗi khổ của lính), tên gọi là 3 lễ vậy.
晏 子 云 : 衣 冠 中 故 朝 無 奇 僻 之 服 所 言 義 故 下 無 偽 上 之 報 身 行 順 治 事 公 故 國 無 阿 黨 之 義 三 者 君 子 常 行 也 。	Sách Yến Tử viết : Áo mũ đúng nên triều-đình không có y phục khác thường ; Lời nói hợp nghĩa nên dưới không báo cáo dối trên ; Thân hành động thích hợp thì trị lý việc công bằng nên nước không có bè đảng a dua.
孫 卿 子 云 : 故 聲 無 小 而 不 聞 行 無 隱 而 不 形 玉 在 山 而 木 草 潤 淵 生 珠 而 崖 不 枯 為 善 積 也 安 有 不 聞 者 乎 。	Ba việc đó người quân-tử thường làm vậy. Sách Tôn Khanh Tử viết : Nên âm thanh dù nhỏ lý nào chẳng ai nghe, hành động dù che dấu lý nào chẳng có hình dáng, ngọc ở núi mà cây cỏ thấm nhuận ấy, chổ sâu sinh ra châu ngọc mà ven núi không khô héo ấy. Làm thiện tích lũy, lý nào có chuyện người không nghe ư ?.
中 論 云 : 君 子 常 虛 其 心 志 恭 其 容 貌 不 以 逸 群 之 才 加 乎 眾 人 之 上 視 彼 猶 賢 自 視 猶 不 肖 也 故 人 願 告 之 而 不 厭 誨 之 而 不 倦 。	Sách Trung Luận viết : Người quân-tử thường để lòng dạ rỗng không, dung mạo thì cung kính, không tìm lỗi lầm quần chúng để cho mình tài trên mọi người. Thường xem người khác đều tài năng, tự xem mình kém tài năng.
尚 書 云 : 汝 惟 弗 矜 天 下 莫 與 汝 爭 能 汝 惟 弗 伐 天 下 莫 與 汝 爭 功 。	Nên người muốn khuyên bảo gì thì chẳng chán ghét, ai dạy gì thì chẳng mỏi mệt. Sách Thượng Thư viết : Ngươi không khoe khoang, thiên-hạ chẳng ai cùng ngươi tranh tài. Ngươi không khoe công, thiên-hạ chẳng ai cùng ngươi tranh công.
魏 志 云 : 夫 人 有 善 鮮 不 自 伐 有 能 者 寡 不 自 矜 伐 則 掩 人 矜 則 陵 人 掩 人 者 人 亦 掩 之 陵 人 者 人 亦 陵 之 。	Sách Ngụy Chí viết : Thường người có việc thiện, ít khi chẳng tự khoe công.
尸 子 云 : 行 有 四 儀 一 曰 志 動 不 忘 仁 二 曰 智 用 不 忘 義 三 曰 力 事 不 忘 忠 四 曰 口 言 不 忘 信 慎 守 四 儀 以 終 其 身 名 功 之 從 之 也 猶 形 之 有 影 聲 之 有 響 也 。	Sách Thi Tử viết : Làm việc có 4 tiêu chuẩn : một là suy nghĩ không quên nhân từ, hai dùng trí huệ không quên đạo nghĩa, ba làm việc không quên hết lòng, bốn nói chuyện không quên thành thực. Cẩn thận giữ 4 tiêu chuẩn cho bản thân đến suốt đời, thì công danh sẽ đến theo.
中 論 云 : 君 子 口 無 戲 謔 之 言 言 必 有 防 身 無 戲 謔 之 行 行 必 有 撿 言 必 有 防 行 必 有 撿 雖 妻 妾 不 可 得 而 黷 也 雖 朋 友 不 可 得 而 狎 也 是 以 不 慍 怒 而 教 行 於 閨 門 不 諫 諭 而 風 聲 化 乎 鄉 黨 傅 稱 大 人 正 己 而 物 正 者 蓋 此 之 謂 也 。	Giống như hình theo bóng, âm thanh phát ra vọng lại vậy. Sách Trung Luận viết : Người quân-tử miệng không nói lời đùa giỡn, thì lời nói ắt có phòng ngừa. Bản thân không đùa giỡn khi làm việc, thì làm việc ắt có kiểm soát. Lời nói ắt có phòng ngừa, làm việc ắt có kiểm soát dẫu thê-thiếp gần gũi cũng không thể khinh thường. Dù là bạn bè gần gũi cũng không thể coi thường. Ấy không phải là tức giận mà dạy nết tốt cho chốn khuê-môn, không răn dạy mà thay đổi phong hóa (tốt đẹp) cho xóm làng, như thế mới xứng là bậc đại-nhân làm chánh mình mà sau mọi vật chánh, đại khái gọi đó là thế vậy.
周 易 云 : 子 曰 亂 之 所 生 也 則 言 語 為 之 階 君 不 密 則 失 臣 臣 不 密 則 失 身 機 事 不 密 則 害 成 是 以 君 子 慎 密 而 不 出 也 。	Sách Chu Dịch viết : Đức Khổng Tử nói loạn sinh ra là do ngôn ngữ dẫn tới. Vua không cẩn mật thì mất bề tôi, bề tôi không cẩn mật thì mất thân, việc cơ-sự không cẩn mật thì hại thành công.
老 子 云 : 夫 輕 諾 必 寡 信 多 易 必 多 難 是 以 聖 人 猶 難 之 故 終 無 難 。	Cho nên người quân-tử lấy sự thận trọng, cẩn mật mà không lộ ra ngoài vậy. Sách Lão Tử viết : Người dễ hứa , ắt ít tin được. Kẻ xem gì cũng dễ, ắt gặp nhiều việc khó. Vậy nên bậc thánh-nhân xem việc gì cũng khó, nên trọn đời không gặp việc gì khó cả.
	Sách Thi Tử viết : Thường đạo lý đem (dạy) cho người thì khó mà làm thì dễ. Cho nên thầy Tăng-Tử nói : “cha mẹ thương thì vui mà chẳng quên, cha mẹ ghét thì sợ mà không bỏ”. Như thế thì yêu và ghét đều có thể làm trọn hạnh hiếu không (nhất thiết phải) chọn lựa vậy. Ông Sử-Thu nói : “ vua mến mà gần gủi, thì hết sức cung kính đến nhún nhường. Còn vẻ mặt mà xa cách, thì cung kính mà không oán giận”. Như thế thì gần gủi và xa cách đều có thể làm trọn lòng trung không (nhất thiết phải) chọn lựa vậy.
