第 三 篇 道 德	THIÊN THỨ 3 : ĐẠO ĐỨC
禮 記 云 : 天 命 之 謂 性 率 性 之 謂 道 脩 道 之 謂 教 道 也 者 不 可 須 臾 離 也 可 離 非 道 也 。	Sách Lễ Ký viết : Cái phần trời ban cho gọi là Tính, tuân theo Tính gọi là Đạo, sửa mình theo Đạo gọi là Giáo. Đạo ấy chẳng thể lìa xa (ta) giây phút nào, nếu lìa xa (ta) thì không phải Đạo vậy.
周 易 云 : 保 合 大 和 乃 利 貞 首 出 庶 物 萬 國 咸 寧 。	Sách Chu Dịch viết : (Quẻ Kiền) Giữ đúng với khí thái-hòa bèn lợi ích trinh bền. Là đầu mối xuất ra mọi vật, vạn quốc đều yên ổn.
老 子 云 : 人 法 地 地 法 天 天 法 道 道 法 自 然 。	Sách Lão Tử viết : Người bắt chước Đất, Đất bắt chước Trời, Trời bắt chước Đạo, Đạo bắt chước tự nhiên.
老 子 云 : 聖 人 不 積 既 以 為 人 己 愈 有 天 之 道 利 而 不 害 聖 人 之 道 為 而 不 爭 。	Sách Lão Tử viết : Bậc thánh-nhân không tích trữ, càng vì người, mình càng có. Đạo của trời lợi mà chẳng hại, đạo của thánh-nhân làm mà chẳng tranh.
孔 子 家 語 云 : 好 學 近 於 智 力 行 近 於 仁 知 恥 近 於 勇 知 斯 三 者 則 知 所 以 修 身 知 所 以 修 身 則 知 所 以 治 人 知 所 以 治 人 則 能 成 天 下 國 家 矣 。	Sách Khổng Tử Gia Ngữ viết : Hiếu-học gần với trí huệ, siêng làm gần với lòng nhân, biết thẹn gần với dũng cảm, biết được ba điều đó thì biết cách sửa mình, biết cách sửa mình thì biết cách trị người, biết cách trị người thì có khả năng làm thành công việc thiên-hạ, quốc-gia vậy.
鬻 子 云 : 發 政 施 令 為 天 下 福 者 謂 之 道 上 下 相 親 謂 之 和 民 不 求 而 得 所 欲 謂 之 信 除 天 下 之 害 謂 之 仁 仁 與 信 和 與 道 帝 王 之 器 也 。	Sách Dục Tử viết : Phát huy nền chính trị, ban hành mệnh lệnh vì hạnh phúc của thiên-hạ đó là Đạo. Trên dưới yêu mến nhau gọi là Hòa. Dân chẳng cầu mà được như lòng mong muốn gọi là Tín. Trừ bỏ mối hại của thiên-hạ gọi là (đức) Nhân. Nhân và Tín, Hòa và Đạo là bảo vật của bậc đế-vương.
中 論 云 : 故 君 子 不 恤 年 之 將 衰 而 憂 志 之 有 倦 不 寑 道 焉 不 宿 義 焉 言 而 不 行 斯 寑 道 矣 行 而 不 時 斯 宿 義 矣 。	Sách Trung Luận viết : Nên bậc quân-tử chẳng sợ tuổi cao sẽ yếu dần, mà chỉ lo ý chí chán nản chẳng tẩm-đạo, chẳng túc-nghĩa. Nói mà chẳng làm là tẩm-đạo vậy, làm mà chẳng đúng thời là túc-nghĩa vậy.
周 易 云 : 乾 象 曰 天 行 健 君 子 以 自 強 不 息 。	Sách Chu Dịch viết : Quẻ Càn, tượng viết : Trời hành động mạnh mẽ, người quân-tử theo đó tự cường không ngừng nghỉ.
周 易 云 : 坤 象 曰 地 勢 坤 君 子 以 厚 德 載 物 。	Sách Chu Dịch viết : Quẻ Khôn, Tượng viết : địa-thế quẻ Khôn, người quân-tử lấy đức hậu chở che mọi vật.
抱 朴 子 云 : 不 修 善 事 即 為 惡 人 無 事 於 大 則 為 小 人 紂 為 無 道 見 稱 獨 夫 仲 尼 陪 臣 謂 為 素 王 即 君 子 不 在 乎 富 貴 矣 。	Sách Bão Phác Tử viết : Không tu việc thiện tức là người ác, không phụng sự bậc lớn là kẻ tiểu-nhân. Vua Trụ làm việc vô đạo nên xứng là kẻ vô đức, ngài Trọng-Ni là bậc bồi-thần nên được gọi là Tố-Vương. Tức là người quân-tử không hẳn phải ở việc được giàu sang vậy.
孝 經 云 : 孝 悌 之 至 通 於 神 明 光 于 四 海 無 所 不 通 。	Sách Hiếu Kính viết : Hạnh hiếu-đễ thông đến thần minh, chiếu sáng đến bốn biển, không đâu chẳng thông.
毛 詩 云 : 蓼 蓼 者 莪 匪 莪 伊 蒿 哀 哀 父 母 生 我 劬 勞 無 父 何 怙 無 母 何 恃 出 則 啣 恤 入 則 靡 至 父 兮 生 我 母 兮 鞠 我 拊 我 畜 我 長 我 育 我 顧 我 復 我 出 入 腹 我 欲 報 之 德 昊 天 罔 極 。	Sách Mao Thi viết : Rau nga dài cộng rậm ren, chẳng là rau nữa cỏ hèn mà thôi. Xót thương cha mẹ ngậm ngùi, thật là cực khổ dưỡng bồi sinh ta. Không cha thì tựa vào đâu, mẹ mà không có dựa vào nơi ai. Đi ra ngậm mối ưu hoài, vào thì như chẳng biết rày đến đâu. Cha truyền hơi khí sinh ta, mẹ thì mang nặng đẻ ra nên người. Vỗ về nựng nịu dưỡng bồi, nuôi ta ấp ủ đến thời lớn khôn. Đi qua quay lại trông luôn, rao vào bỗng ằm chiêu nuông trong lòng. Báo đền ân đức ta mong, như trời to rộng vô cùng nghĩa ân.
禮 記 云 : 孝 有 三 小 孝 用 力 中 孝 用 勞 大 孝 不 匱 思 慈 愛 忘 勞 可 謂 用 力 矣 尊 仁 安 義 可 謂 用 勞 矣 博 施 備 物 可 謂 不 匱 矣 父 母 愛 之 喜 而 弗 忘 父 母 惡 之 懼 而 無 怨 父 母 有 過 諫 而 不 逆 父 母 既 沒 必 求 仁 者 之 粟 以 祀 之 此 之 謂 禮 終 。	Sách Lễ Ký viết : Hạnh hiếu có ba bậc, tiểu-hiếu dùng sức, trung-hiếu lao lực, đại-hiếu không (để cha mẹ) thiếu thốn. Nghĩ đến yêu thương quên đi lao khổ có thể gọi là dùng sức. Tôn sùng đức nhân, sống trong điều nghĩa có thể gọi là lao lực. Bố thí rộng, sắp đặt mọi vật có thể gọi là không (để) thiếu thốn. Cha mẹ yêu thì vui mà chẳng quên ơn, cha mẹ ghét thì sợ mà chẳng oán trách, cha mẹ có lỗi thì khuyên mà chẳng nghịch lại, cha mẹ đã mất ắt nhớ thương mãi, lấy lúa để cúng tế. Đó gọi là trọn vẹn lễ.
孝 經 云 : 在 上 不 驕 高 而 不 危 制 節 謹 度 滿 而 不 溢 高 而 不 危 所 以 長 守 貴 也 滿 而 不 溢 所 以 長 守 富 也 富 貴 不 離 其 身 然 後 能 保 其 社 稷 而 和 其 民 人 蓋 諸 侯 之 孝 也 詩 云 戰 戰 兢 兢 如 臨 深 淵 如 履 薄 冰 戰 戰 恐 懼 。	Sách Hiếu Kính viết : Ở chức trên chẳng kiêu thì ngôi cao mà không nguy khốn, tiết chế cẩn thận vừa phải lúc đầy đủ không phóng túng. Ngôi cao không nguy khốn để giữ sự tôn quý bền lâu, lúc đầy đủ không phóng túng để giữ sự giàu có dài mãi. Sự giàu có và tôn quý chẳng ly khỏi bản thân, mà sau có thể bảo toàn được xã-tắc mà cùng hòa vui với dân chúng. Đó là hạnh hiếu của chư-hầu. Kinh Thi viết : “ nơm nớp lo sợ, như đến vực sâu, như trên băng mỏng.” Nên Nơm nớp kinh sợ vậy.
