第 四 篇 為 政	THIÊN THỨ 4 : VI CHÁNH
孔 子 家 語 云 : 孔 子 曰 凡 為 天 下 國 家 者 有 九 經 焉 曰 修 身 也 尊 賢 也 親 親 也 敬 大 臣 也 體 群 臣 也 子 庶 人 也 來 百 工 也 柔 遠 人 也 懷 諸 侯 也 修 身 則 道 立 尊 賢 則 不 惑 親 親 則 諸 父 昆 弟 不 怨 敬 大 臣 則 不 眩 體 群 臣 則 士 之 報 禮 重 子 庶 人 則 百 姓 勸 來 百 工 則 財 用 足 柔 遠 人 則 四 方 歸 之 懷 諸 侯 則 天 下 畏 之 公 曰 為 之 奈 何 孔 子 曰 齊 莊 盛 服 非 禮 不 動 所 以 修 身 也 去 讒 遠 色 賤 貨 而 貴 德 所 以 尊 賢 也 爵 其 能 重 其 祿 同 其 好 惡 所 以 篤 親 親 也 官 盛 任 使 所 以 敬 大 臣 也 忠 信 重 祿 所 以 勸 士 也 時 使 薄 斂 所 以 子 百 姓 也 日 省 月 考 既 稟 稱 事 所 以 來 百 工 也 送 往 迎 來 嘉 善 而 矜 不 能 所 以 綏 遠 人 也 繼 絕 世 舉 廢 邦 朝 聘 以 時 厚 往 而 薄 來 所 以 懷 諸 侯 也 治 天 下 國 家 有 九 經 焉 其 所 以 行 之 者 一 也 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói phàm việc trị thiên-hạ quốc gia có 9 cương lĩnh là : 1.Tu sửa bản thân, 2.Tôn trọng người hiền, 3.Yêu thương người thân, 4.Kính trọng đại-thần, 5.Thấu hiểu quần-thần, 6.Thương dân như con, 7.Chiêu mộ thợ giỏi, 8.Tiếp đãi chu đáo khách ở xa đến, 9.Bảo bọc chư-hầu. Tu sửa bản thân thì đạo đức được gây dựng, tôn trọng người hiền thì không bị mê hoặc, yêu thương người thân thì chú bác anh em không oán hận, kính trọng đại-thần thì không bị lừa dối, thấu hiểu quần-thần thì kẻ sĩ cảm phục hết lòng báo đáp, thương dân như con thì bách-tính khuyến thiện, chiêu mộ thợ giỏi thì tiền của đầy đủ, tiếp đãi chu đáo khách ở xa đến thì bốn phương quy phục, bảo bọc chư-hầu thì thiên-hạ kính phục. Vua Lỗ Ai Công hỏi : vậy làm bằng cách nào ?. Đức Khổng-Tử đáp : thưa trai giới trang nghiêm, y phục chỉnh tề, việc trái lễ không làm đó là cách tu sửa bản thân. Bỏ lời gièm pha, lánh xa nữ sắc, xem nhẹ tiền của mà quý đạo đức đó là cách tôn trọng người hiền. Ban tước vị theo năng lực, thưởng bổng lộc nhiều, hiểu rõ việc ưa hay ghét đó là cách dốc lòng yêu thương người thân. Ban chức quan cao, phân chia trách nhiệm đó là cách kính trọng đại-thần. Giữ lòng trung-tín, ban thưởng bổng lộc trọng hậu đó là cách khuyến khích kẻ sĩ. Sai khiến hợp thời, giảm nhẹ thuế khóa đó là thương dân như con. Hàng ngày coi xét, hàng tháng khảo sát, cấp phát lương bổng tương xứng với công việc đó là cách chiêu mộ thợ giỏi. Tiễn khách đi, đón khách đến, khen người tài giỏi mà thương kẻ yếu kém đó là cách tiếp đãi chu đáo khách ở xa đến. Tiếp nối dòng dõi bị đứt, nâng đỡ nước suy yếu, định thời hạn triều-sính (ngoại giao), lễ vật nhận ít mà đáp trả lại trọng hậu đó là cách để bảo bọc chư-hầu. Việc trị thiên-hạ quốc gia có 9 cương lĩnh, sở dĩ làm được thì chỉ có một (chân thành mà thôi).
尚 書 云 : 民 惟 邦 本 本 固 邦 寧 。	Sách Thượng Thư viết : Dân là gốc của nước, gốc vững thì nước yên.
孔 子 家 語 云 : 文 武 之 政 布 在 方 策 其 人 存 則 其 政 舉 其 人 亡 則 其 政 息 故 為 政 在 於 得 人 取 人 以 身 修 身 以 道 修 道 以 仁 。	Sách Khổng Tử Gia Ngữ viết : Việc chính trị của vua Văn-Vương, Võ-Vương được ghi trong sách. Người làm được thì nền chính trị được đưa lên, làm không được thì nền chính trị ngưng trệ. Nên nền chính trị tốt đẹp là được người hiền giúp, muốn có người hiền theo mình thì phải sửa mình theo đạo đức, sửa mình theo đạo đức cốt lõi ở đức nhân từ.
漢 書 云 : 昔 者 成 王 幼 在 繈 褓 之 中 召 公 為 太 保 周 公 為 太 傅 太 公 為 太 師 保 保 其 身 體 傅 傅 之 德 義 師 導 之 教 訓 此 三 公 職 也 於 是 為 置 三 少 少 保 少 傅 少 師 是 與 太 子 宴 者 也 故 乃 孩 提 有 識 三 公 三 少 明 孝 仁 禮 義 以 導 習 之 逐 去 邪 人 不 使 見 惡 行 於 是 皆 選 天 下 之 端 士 孝 悌 博 聞 有 道 術 者 以 衛 翼 之 使 與 太 子 居 處 出 入 故 太 子 乃 生 而 見 正 事 聞 正 言 行 正 道 左 右 前 後 皆 正 人 孔 子 曰 少 成 若 天 性 習 慣 如 自 然 。	Sách Hán Thư viết : Xưa Chu-Thành-Vương lúc bé còn quấn trong khăn, thỉnh được Thiệu-Công làm quan thái-bảo, Chu-Công làm quan thái-phó, Thái-Công làm quan thái-sư. Quan thái-bảo chuyên chăm sóc thân-thể, quan thái-phó chuyên dạy đạo đức nhân nghĩa, quan thái-sư chỉ dẫn giáo huấn (thánh-hiền) đó là công việc của ba chức quan. Cứ thế rồi tiếp tục đặt ra ba chức quan thiếu-bảo, thiếu-phó, thiếu-sư để họ ở cùng với thái-tử. Nên khi còn nhỏ thì đã đặt ra ba chức quan tam-công và tam-thiếu để giúp thế-tử rõ lý về hiếu, nhân, lễ, nghĩa và chỉ dẫn tập làm theo, đồng thời xua đuổi lánh xa người gian tà, không để (thái-tử) thấy hành vi xấu ác. Rồi tiếp tục tuyển trong thiên-hạ những kẻ sĩ đoan chính, hiếu-đễ, học rộng, có đạo-thuật để họ trợ giúp và ở cùng thái-tử làm bạn sớm tối. Nên thái-tử từ lúc sinh ra thấy toàn việc chánh đáng, nghe những lời chánh đáng, làm những việc theo chánh đạo người thân cận trái phải trước sau đều là bậc chánh nhân (quân-tử). Đức Khổng-Tử nói : “Rèn luyện thuở nhỏ thành nhân cách, nhân cách quen rồi thành lẽ tự nhiên.”
說 苑 云 : 國 無 賢 佐 俊 士 而 能 以 成 功 立 名 安 危 繼 絕 者 未 嘗 有 也 故 國 不 務 大 而 務 得 民 心 佐 不 務 多 而 務 得 賢 俊 得 民 心 者 民 往 之 有 賢 佐 士 歸 之 。	Sách Thuyết Uyển viết : Nước không hiền-thần, kẻ sĩ tài giỏi phò tá mà có thể thành công trong sự nghiệp, lập nên danh tốt ở đời, dẹp yên động loạn, tiếp nối sự nghiệp đã suy vong là việc chưa từng có. Nên nước không lo việc lớn mạnh mà nên lo được lòng dân, bề tôi phò tá không lo được nhiều mà nên lo có được người hiền, kẻ sĩ tài giỏi. Được lòng dân thì dân tìm đến, có người hiền giúp thì kẻ sĩ quy phục.
孔 子 家 語 云 : 公 問 曰 敢 問 人 道 誰 為 大 孔 子 對 曰 夫 人 道 政 為 大 夫 政 者 正 也 君 為 正 則 百 姓 從 而 正 矣 公 曰 敢 問 為 政 如 之 何 孔 子 對 曰 夫 婦 別 父 子 親 君 臣 信 三 者 正 則 庶 物 從 之 矣 。	Sách Khổng Tử Gia Ngữ viết : Vua Lỗ-Ai-Công hỏi : xin hỏi đạo người việc gì là lớn nhất ?. Đức Khổng-Tử đáp : Thưa đạo người có việc chính trị là lớn nhất, chính trị là làm chánh đáng vậy. Vua làm chánh đáng thì bách-tính học theo mà chánh đáng. Vua Lỗ-Ai-Công hỏi : xin hỏi làm chính trị như thế nào ?. Đức Khổng-Tử đáp : Thưa vợ chồng phân biệt, cha con thân thiết, vua tôi tin nhau. Ba việc đó chánh đáng thì mọi việc đều thuận lợi.
論 語 云 : 子 路 曰 衛 君 待 子 而 為 政 子 將 奚 先 子 曰 必 也 正 名 乎 名 不 正 則 言 不 順 言 不 順 則 事 不 成 事 不 成 則 禮 樂 不 興 禮 樂 不 興 則 刑 罰 不 中 刑 罰 不 中 則 民 無 所 措 手 足 。	Sách Luận Ngữ viết : Thầy Tử-Lộ hỏi : thưa nếu vua nước Vệ mời thầy ra làm quan, thì thầy sẽ làm việc gì trước tiên ?. Đức Khổng-Tử đáp : ta ắt sẽ làm rõ danh phận !. Danh không đúng thì lời nói không thuận, lời nói không thuận thì việc làm không thành công, việc làm không thành công thì lễ nhạc không hưng khởi, lễ nhạc không hưng khởi thì hình phạt không trúng, hình phạt không trúng thì dân không biết lấy gì để phân biệt đúng sai.
周 易 云 : 彖 曰 家 人 女 正 位 乎 内 男 正 位 乎 外 天 地 之 大 義 也 家 人 有 嚴 君 焉 父 母 之 謂 也 父 父 子 子 兄 兄 弟 弟 夫 夫 婦 婦 而 家 道 正 正 家 而 天 下 定 矣 。	Sách Chu Dịch viết : (Quẻ phong hỏa Gia-Nhân) Thoán viết : quẻ Gia-Nhân con gái đúng vị trí ở trong nhà, con trai đúng vị trí ở ngoài đường, đó là nghĩa lớn của trời đất. Người nhà có lãnh đạo nghiêm đó là cha mẹ. Cha ra cha, con ra con, anh ra anh, em ra em, chồng ra chồng, vợ ra vợ mà sau gia-đạo được đúng đắn, gia-đạo được đúng đắn thì thiên-hạ được an định vậy.
潛 夫 論 云 : 夫 富 民 者 以 農 桑 為 本 以 遊 業 為 末 百 工 者 以 致 用 為 本 以 巧 飾 為 末 商 賈 者 以 通 貨 為 本 以 鬻 奇 為 末 三 者 守 本 離 末 則 民 富 離 本 守 末 則 民 貧 貧 則 阨 而 忘 善 富 則 樂 而 可 教 教 訓 者 以 道 義 為 本 以 巧 辦 為 末 辭 語 者 以 言 順 為 本 以 詭 麗 為 末 列 士 者 以 孝 悌 為 本 以 交 游 為 末 孝 悌 以 致 養 為 本 以 華 觀 為 末 人 臣 者 以 忠 正 為 本 以 媚 愛 為 末 五 者 守 本 離 末 則 仁 義 興 離 本 守 末 則 道 德 崩 。	Sách Tiềm Phu Luận viết : Dân giàu thì lấy nghề nông làm gốc còn nghề trôi nổi làm ngọn. Các thợ nghề lấy đồ thực dụng làm gốc còn đồ tinh xảo đẹp mắt làm ngọn. Thương nhân lấy việc lưu thông hàng hóa làm gốc còn việc mưu lợi làm ngọn. Ba điều đó giữ gốc lìa ngọn thì dân giàu, giữ ngọn lìa gốc thì dân nghèo. Dân nghèo thì khốn khổ mà quên làm thiện, dân giàu thì vui sướng nên tiếp nhận giáo-huấn. Giáo-huấn thì lấy đạo nghĩa làm gốc còn biện luận khéo léo làm ngọn. Từ-ngữ thì nói lời thuận đạo lý làm làm gốc còn kỳ dị đẹp đẽ làm ngọn. Các bậc học sĩ lấy hạnh hiếu-đễ làm gốc còn việc giao-du làm ngọn. Hạnh hiếu-đễ lấy hết lòng phụng dưỡng người thân làm gốc còn làm để cho dễ nhìn làm ngọn. Người làm quan lấy hạnh trung-chánh làm gốc còn việc lấy lòng sủng ái làm ngọn. Năm việc đó giữ gốc lìa ngọn thì nhân nghĩa hưng khởi, lìa gốc giữ ngọn thì đạo đức suy đồi.
袁 子 正 書 云 : 夫 仁 義 禮 制 者 治 之 本 也 法 令 刑 罰 者 治 之 末 也 無 本 者 不 立 無 末 者 不 成 夫 禮 教 之 治 先 之 以 仁 義 示 之 以 敬 讓 使 民 遷 善 日 用 而 不 知 也 。	Sách Viên Tử Chính Thư viết : Nhân nghĩa, lễ chế là gốc của việc trị nước. Pháp lệnh, hình phạt là ngọn của việc trị nước. Không gốc thì việc không gây dựng, không ngọn thì việc không thành công. Việc lễ giáo được an trị, trước lấy nhân nghĩa biểu thị nết kính nhường, khiến dân thay đổi tốt hàng ngày mà không ai hay biết.
