漢 書 云 : 眾 賢 和 於 朝 則 萬 物 和 於 野 故 四 海 之 內 靡 不 和 寧 。	Sách Hán Thư viết : Nhiều người hiền ở triều-đình hòa thì vạn vật hòa đến chốn thôn dã.
周 易 云 : 上 慢 下 暴 盜 思 伐 之 矣 慢 藏 誨 盜 治 容 誨 淫 。	Sách Chu Dịch viết : Trên ngạo mạng, dưới thô bạo giặc cướp nghĩ đến đánh dẹp.
中 論 云 : 民 之 過 在 於 哀 死 而 不 愛 生 悔 往 而 不 慎 來 善 語 乎 已 然 好 爭 乎 遂 事 墮 今 日 而 懈 於 後 旬 如 斯 以 及 於 老 。	Khinh mạng là khơi dậy trộm cắp, trang điểm quá mức là khơi dậy dâm loạn. Sách Trung Luận viết : Sai lầm của người là buồn lúc chết mà không thích lúc sống, hối hận việc đã qua mà không dè chừng việc sắp đến. Cái tốt cho là hiển nhiên, thích cạnh tranh cho mau xong việc, sa đọa trong ngày hôm nay mà biếng nhác việc sang tuần, cứ làm như thế cho đến già.
晉 書 云 : 天 子 之 子 不 患 不 富 貴 不 患 人 不 敬 畏 患 於 驕 盈 不 聞 其 過 不 知 稼 穡 之 艱 難 耳 至 於 甚 者 乃 不 知 名 六 畜 可 不 勉 哉 。	Sách Tấn Thư viết : Con của thiên-tử chẳng lo không được giàu sang, chẳng lo không được người kính sợ. Có lo thì kiêu ngạo quá mức, lo không nghe được lỗi, lo không biết gian nan của nông dân.
孟 子 云 : 孟 子 曰 離 婁 子 之 明 公 輸 子 之 巧 不 以 規 矩 不 能 成 方 圓 師 曠 之 聰 不 以 六 律 不 能 正 五 音 堯 舜 之 道 不 以 仁 政 不 能 平 治 天 下 故 曰 徒 善 不 足 以 為 政 徒 法 不 能 以 自 行 。	Đến thậm tệ hơn nữa là không biết tên 6 loại gia súc, vậy mà không cố gắng ư !. Sách Mạnh Tử viết : Thầy Mạnh-Tử nói : mắt sáng của ông Ly-Lâu và sự khéo tay của ông Chu-Công-Ban (Lỗ-Ban) nếu không dùng đến thước vuông, thước tròn thì không thể nào làm nên món đồ vuông tròn được. Đôi tai thính của sư Khoáng, nếu không dùng sáu luật (âm dương của âm thanh), thì không thể nào nghe rõ năm nốt nhạc (ngũ cung) được. Đạo của vua Nghiêu, vua Thuấn nếu không lấy lòng nhân làm chính trị thì không thể làm thiên-hạ thái bình an trị được. Nên chỉ giảng việc thiện thôi thì chưa đủ sức để làm chính trị, chỉ nói luật pháp thôi thì chưa đủ lực để người tuân theo.
墨 子 云 : 子 墨 子 曰 國 有 七 患 七 患 者 何 城 郭 溝 池 不 可 守 而 治 宮 室 一 患 也 邊 國 至 境 四 鄰 莫 救 二 患 也 先 盡 民 力 無 用 之 功 賞 賜 無 能 之 人 三 患 也 仕 者 持 祿 遊 者 憂 佼 君 脩 法 討 臣 臣 懾 而 不 敢 咈 四 患 也 君 自 以 為 聖 智 而 不 問 事 自 以 為 安 強 而 無 守 備 五 患 也 所 信 者 不 忠 所 忠 者 不 信 六 患 也 蓄 種 菽 粟 不 足 以 食 之 大 臣 不 足 以 事 之 賞 賜 不 能 喜 誅 罰 不 能 威 七 患 也 以 七 患 居 國 必 無 社 稷 以 七 患 守 城 敵 至 國 傾 七 患 之 所 當 國 必 有 殃 。	Sách Mặc Tử viết : Thầy Mặc-Tử nói : Quốc gia có 7 mối lo, vậy 7 mối lo ấy là gì ?. Thành quách, ao hào không thể phòng thủ mà lo xây cung thất là mối lo thứ nhất. Biên giới bị xâm phạm bốn phía mà nước láng giềng chẳng cứu giúp là mối lo thứ hai. Dốc hết sức dân làm những việc vô-dụng, công lao thì ban thưởng cho kẻ bất tài là mối lo thứ ba. Người làm quan giữ lấy bỗng lộc, kẻ du thuyết lo lắng kết bạn, vua sửa luật để phạt bề tôi, bề tôi lo sợ mà chẳng dám nghịch lại là mối lo thứ tư. Vua tự cho mình là thánh-trí mà không hỏi việc nước, tự cho làm nước an trị hùng mạnh mà không phòng bị đó là mối lo thứ năm. Kẻ tín nhiệm không trung thành, người trung thành không tin tưởng đó là mối lo thứ sáu. Hạt giống dự trữ, lúa thóc không đủ nuôi dân, bậc đại-thần không đủ để làm việc, việc ban thưởng không làm người vui, sự trừng phạt không thể làm người nể sợ đó là mối lo thứ bảy. Lấy bảy mối lo này để ở quốc gia ắt sẽ không còn quốc gia nữa, lấy bảy mối lo này để thủ thành thì địch đến quốc gia nghiêng đổ. Bảy mối lo này đang ở quốc gia nào thì ắt sẽ có tai ương. Sách Hàn Tử viết : 10 lỗi : Thứ nhất là hành tiểu-trung thì hại đại-trung.
韓 子 云 : 十 過 一 曰 行 小 忠 則 大 忠 之 賊 也 二 曰 顧 小 利 則 大 利 之 殘 也 三 曰 行 僻 自 用 無 禮 諸 侯 則 亡 身 之 至 也 四 曰 不 務 聽 治 而 好 五 音 則 窮 身 之 事 也 五 曰 貪 愎 喜 利 則 滅 國 殺 身 之 本 也 六 曰 耽 於 女 樂 不 顧 國 政 則 亡 國 之 過 也 七 曰 離 內 遠 遊 忽 於 諫 士 則 危 身 之 道 也 八 曰 過 而 不 聽 於 忠 臣 而 獨 行 其 意 則 滅 高 名 為 人 笑 之 始 也 九 曰 內 不 量 力 外 恃 諸 侯 則 削 國 之 患 也 十 曰 國 小 無 禮 不 用 諫 臣 則 絕 世 之 勢 也 。	Thứ hai chú ý lợi nhỏ mà bỏ sót lợi lớn. Thứ ba là hành vi hẹp hòi, làm theo ý mình, vô-lễ với các chư-hầu thì dẫn tới việc mất thân. Thứ tư là không lắng nghe công việc trị nước mà thích nghe nhạc ngũ-âm thì gặp việc sẽ khiến bản thân cùng đường. Thứ năm là tham lam cố chấp, thích lợi là căn gốc của mất nước hại thân. Thứ sáu là đam mê nữ-nhạc không chú ý việc trị quốc là cái lỗi của việc mất nước. Thứ bảy là rời xa chốn triều nội mà đi du ngoạn xa, sao nhãng lời khuyên của kẻ sĩ là con đường hại thân. Thứ tám là có lỗi mà chẳng lắng nghe trung-thần, thích tự làm theo ý mình là khởi đầu của việc mất đi thanh danh cao quý và bị người cười chê. Thứ chín là không lượng sức lực trong nước, dựa vào các nước chư-hầu bên ngoài, đó là cái họa đất nước bị chia cắt. Thứ mười là nước nhỏ mà vô-lễ, không dùng bề tôi can gián thì quyền thế con cháu đời sau bị mất đi.
政 要 論 云 : 且 夫 閉 情 無 欲 者 上 也 咈 心 消 除 者 次 之 昔 帝 舜 藏 黃 金 於 嶄 巖 之 山 抵 珠 玉 於 深 川 之 底 及 儀 狄 獻 旨 酒 而 禹 甘 之 於 是 疏 遠 儀 狄 純 上 旨 酒 此 能 閉 情 於 無 欲 者 也 。	Sách Chính Yếu Luận viết : Vả chăng người khép lại tình cảm không dục vọng là bậc thượng, làm trái lòng mình để tiêu-trừ dục vọng là bậc kế. Xưa kia vua Thuấn đem vàng chôn ở núi cao hiểm trở, lấy châu-ngọc đem giấu ở dưới sông sâu. Đến ông Nghi-Địch dâng hiến rượu ngon, khi vua Đại-Vụ thử vị cho ngon thì liền rời xa Nghi-Địch chỉ vì ông ta dâng rượu ngon lên. Mấy vị ấy có thể khép lại tình cảm đến không dục vọng vậy. Sách Bão Phác Tử viết : Thầy Bão Phác Tử nói : Khi mặt trời, mặt trăng và các vì sao trên trời bị mây che phủ thì ánh sáng dưới đất bị mờ tối. Như gốc cây này bị mục nát thì cành lá kia sẽ bị khô héo.
抱 朴 子 云 : 抱 朴 子 曰 三 辰 蔽 於 天 則 清 景 闇 於 地 根 茇 蹶 於 此 則 柯 條 瘁 於 彼 道 失 於 近 則 禍 及 於 遠 政 繆 於 上 而 民 困 於 下 。	Đánh mất đạo đức gần thì tai họa bèn từ xa đến. Ở trên làm chính trị lầm lỗi thì ở dưới dân gặp cảnh khốn cùng.
典 語 云 : 夫 世 之 治 亂 國 之 安 危 非 由 他 也 俊 乂 在 官 則 治 道 清 奸 佞 干 政 則 禍 亂 作 故 王 者 任 人 不 可 不 慎 也 。	Sách Điển Ngữ viết : Việc thịnh trị hay loạn lạc của thế gian, việc an nguy của quốc gia không phải do nguyên nhân nào khác. Người tài đức làm quan thì đường lối cai trị sáng rõ, kẻ gian nịnh chen vào việc chính trị thì gây tai họa loạn lạc.
毛 詩 云 : 亂 之 初 生 僭 始 既 涵 亂 之 又 生 君 子 信 讒 君 子 信 盜 亂 是 用 暴 盜 言 孔 甘 亂 是 用 餤 。	Nên vua giao trách nhiệm cho người không thể không thận trọng vậy. Sách Mao Thi viết : Loạn lạc lúc mới phát sinh, vì vua tin quá nhiều người. Loạn lạc lại phát sinh thêm, vì vua (quân-tử) dùng kẻ sàm nịnh. Vua tin theo kẻ gian nịnh, thì loạn lạc càng mạnh bạo. Lời của kẻ gian nịnh ngọt, thì loạn lạc càng dâng cao.
