第 五 篇 敬 慎	THIÊN THỨ 5 : KÍNH THẬN
周 易 云 : 積 善 之 家 必 有 餘 慶 積 不 善 之 家 必 有 餘 殃 。	Sách Chu Dịch viết : Nhà tích điều thiện ắt có dư việc vui. Nhà tích điều bất thiện ắt có dư tai ương.
周 易 云 : 善 不 積 不 足 以 成 名 惡 不 積 不 足 以 滅 身 小 人 以 小 善 為 無 益 而 弗 為 也 以 小 惡 為 無 傷 而 弗 去 也 故 惡 積 而 不 可 掩 罪 大 而 不 可 解 也 。	Sách Chu Dịch viết : Thiện không tích không đủ để thành danh. Ác không tích không đủ để diệt-thân. Kẻ tiểu-nhân cho việc thiện nhỏ làm vô-ích nên chẳng làm, cho làm việc ác nhỏ không hại gì nên chẳng bỏ. Nên việc ác đã tích thì không thế che dấu, tội lớn rồi thì không thể giải trừ.
漢 書 云 : 夫 十 圍 之 木 始 生 而 如 糱 足 可 搔 而 絕 手 可 擢 而 拔 據 其 未 生 先 其 未 形 也 磨 礱 砥 礪 不 見 其 損 有 時 而 盡 種 樹 畜 養 不 見 其 益 有 時 而 大 積 德 累 行 不 知 其 善 有 時 而 用 棄 義 背 理 不 知 其 惡 有 時 而 亡 。	Sách Hán Thư viết : Thường cây lớn mười vòng ôm, bắt đầu sinh ra từ mầm non, khi đó dùng chân cào cũng đứt, dùng tay nhổ cũng lên nguyên do là chúng chưa sinh trưởng và chưa thành hình vậy. Mài dao trên đá không thấy đá mòn nhưng đến một thời điểm nào đó chúng sẽ mòn đi hết. Trồng cây, nuôi gia súc không ta thấy chúng phát triển nhưng đến một thời điểm nào đó chúng sẽ lớn. Tích lũy đức hạnh ta không biết được cái tốt của nó nhưng đến một thời điểm nào đó chúng sẽ có tác dụng. Khinh nhân nghĩa, trái đạo lý ta không biết được cái xấu của nó nhưng đến một thời điểm nào đó sẽ bị diệt vong.
禮 記 云 : 傲 不 可 長 欲 不 可 縱 志 不 可 滿 樂 不 可 極 。	Sách Lễ Ký viết : Kiêu nghạo không thể lớn, dục vọng không thể phóng túng, ý chí không thể tràn đầy, vui mừng không thể quá mức.
漢 書 云 : 蓋 明 者 遠 見 於 未 萌 知 者 避 危 於 無 形 禍 固 多 臧 於 隱 微 而 發 於 人 之 所 忽 者 也 。	Sách Hán Thư viết : Đại khái người sáng suốt nhìn xa khi việc chưa xuất hiện. Người khôn ngoan tránh nguy hiểm khi chúng chưa hình thành. Tai họa nhân nơi nhiều sự việc ẩn núp không hiện rõ ràng rồi bỏ qua là do người sao nhãng vậy.
論 語 云 : 子 曰 人 而 無 遠 慮 必 有 近 憂 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Người mà không nghĩ xa ắt sẽ có mối lo gần.
老 子 云 : 禍 兮 福 之 所 倚 福 兮 禍 之 所 伏 孰 知 其 極 。	Sách Lão Tử viết : Họa là chỗ dựa của phúc, phúc là chỗ núp của họa, ai biết chỗ cùng của nó.
桓 子 新 論 云 : 教 人 曲 突 遠 薪 固 無 恩 澤 燋 頭 爛 額 反 為 上 客 蓋 傷 其 賤 本 而 貴 末 豈 夫 獨 突 薪 可 以 除 害 哉 後 世 多 損 於 杜 塞 未 萌 而 勤 於 攻 擊 已 成 謀 臣 稀 賞 而 鬥 士 常 榮 。	Sách Hoàn Tử Tân Luận viết : Người khuyên phòng cháy không nhớ ân, người đến giúp chữa cháy thì xem như thượng khách. Việc đó là tổn thương xem nhẹ phần gốc mà quý phần ngọn, tại sao người khuyên phòng cháy có thể trừ đi mối hại !. Người hậu-thế đa phần quên mất việc ngăn chặn bế tắc khi chúng chưa phát sinh mà luôn chỉ trích khi việc đã thành. Mưu-thần rất hiếm ban khi thưởng mà đấu-sĩ thường được tôn vinh.
尚 書 云 : 玩 人 喪 德 玩 物 喪 志 。	Sách Thượng Thư viết : Trêu người thì mất đức, trêu vật thì mất chí.
史 記 云 : 箕 子 者 紂 親 戚 也 紂 為 象 箸 箕 子 歎 曰 彼 為 象 箸 必 為 玉 杯 為 玉 杯 則 必 思 遠 方 珍 怪 之 物 而 御 之 矣 輿 馬 宮 室 之 漸 自 此 始 不 可 振 也 。	Sách Sử Ký viết : Ông Cơ-Tử với vua Trụ là thân thích. Khi vua Trụ dùng đũa làm bằng ngà voi Cơ-Tử than rằng : “ Hắn dùng đũa ngà voi ắt tiếp sẽ dùng chén ngọc, dùng chén ngọc thì ắt sẽ nghĩ xa đến những đồ vật quý giá lạ thường để thưởng thức, rồi xe ngựa, cung-thất sẽ tiêm nhiễm theo từ đó bắt đầu không thể cứu vãn được nữa rồi.”
老 子 云 : 圖 難 於 其 易 為 大 於 其 細 天 下 難 事 必 作 於 易 天 下 大 事 必 作 於 細 是 以 聖 人 終 不 為 大 故 能 成 其 大 。	Sách Lão Tử viết : Làm việc khó bắt đầu từ chỗ dễ, làm việc lớn bắt đầu nơi việc nhỏ, việc khó trong thiên-hạ ắt làm từ chỗ dễ, việc lớn trong thiên-hạ ắt làm từ việc nhỏ. Cho nên vì bậc thánh-nhân suốt đời không làm việc lớn, nên mới thành được việc lớn.
