第 六 篇 明 辨	THIÊN THỨ 6 : MINH BIỆN
論 語 云 : 子 曰 君 子 和 而 不 同 小 人 同 而 不 和 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : người quân-tử hòa mà không đồng, kẻ tiểu-nhân đồng mà không hòa.
論 語 云 : 子 曰 君 子 成 人 之 美 不 成 人 之 惡 小 人 反 是 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : người quân-tử thành tựu điều tốt đẹp cho người, không thành tựu điều xấu cho người, kẻ tiểu-nhân thì làm ngược lại.
體 論 云 : 君 子 掩 人 之 過 以 長 善 小 人 毀 人 之 善 以 為 功 。	Sách Thể Luận viết : Người quân-tử che dấu lỗi người để trưởng dưỡng điều thiện, kẻ tiểu-nhân hủy báng điều thiện của người để lập công.
論 語 云 : 子 貢 曰 君 子 亦 有 惡 乎 子 曰 有 惡 惡 稱 人 惡 者 惡 居 下 流 而 訕 上 者 惡 勇 而 無 禮 者 惡 果 敢 而 窒 者 。	Sách Luận Ngữ viết : Thầy Tử-Cống hỏi : thưa người quân-tử lại có ghét gì không ?. Đức Khổng Tử đáp : có ghét. Ghét kẻ nói chuyện xấu của người khác, ghét kẻ dưới hủy báng người trên, ghét kẻ dũng mãnh mà không lễ phép, ghét kẻ quả quyết mà cố chấp.
體 論 云 : 君 子 心 有 所 定 計 有 所 守 智 不 務 多 務 行 其 所 知 行 不 務 多 務 審 其 所 由 安 之 若 性 行 之 如 不 及 小 人 則 不 然 心 不 在 乎 道 義 之 經 口 不 吐 乎 訓 誥 之 言 不 擇 賢 以 託 身 不 力 行 以 自 定 隨 轉 如 流 不 知 所 執 。	Sách Thể Luận viết : Người quân-tử lòng dạ luôn kiên định, nên kế hoạch có thể giữ gìn. Hiểu biết không nhất thiết nhiều, nên chuyên làm những việc đã biết. Làm việc không nhất thiết nhiều, nên lo xét kỹ những nguyên do. An ổn với bản tính vốn có, làm việc như thấy không đủ. Kẻ tiểu-nhân thì thì không như thế, lòng dạ không an định ở đạo-nghĩa và kinh sách. Miệng không nói ra lời răn dạy. Không chọn người hiền để gửi thân. Không nỗ lực (học tập) để tự an định, tùy chuyển như dòng nước chảy, không biết giữ lấy gì.
韓 詩 外 傳 云 : 人 有 六 情 失 之 責 亂 從 之 則 睦 故 聖 王 之 教 其 民 也 必 因 其 情 而 節 之 以 禮 必 從 其 欲 而 制 之 以 義 義 簡 而 備 禮 易 而 法 去 情 不 遠 故 民 之 從 命 也 速 。	Sách Hàn Thi Ngoại Truyện viết : Người có lục-tình (6 thứ tình cảm), bỏ mất đi thì chỉ loạn, còn thuận theo thì hòa mục. Nên bậc thánh-vương dạy dân ắt nhân nơi cái tình mà điều tiết đi, còn dùng lễ ắt thuận lòng dục mà tiết chế theo đạo nghĩa. Nghĩa lý đơn giản mà hoàn bị, lễ dễ làm mà có pháp tắc, không rời xa cái tình. Nên dân thuận theo mệnh lệnh nhanh vậy.
新 語 云 : 行 善 者 則 百 姓 悅 行 惡 者 則 子 孫 怨 是 以 明 者 可 以 致 遠 否 者 以 失 近 。	Sách Tân Luận viết : Làm thiện thì trăm-họ vui lòng, làm ác thì con cháu oán hờn. Tức là rõ được việc đó, thì có thể khiến người xa đến, còn không thì mất luôn người thân cận.
左 傳 云 : 我 聞 忠 善 以 損 怨 不 聞 作 威 以 防 怨 。	Sách Tả Truyện viết : Ta nghe lòng trung và việc thiện có thể làm giảm đi oán giận, chưa từng nghe ra dáng uy quyền để phòng oán giận.
論 語 云 : 周 公 謂 魯 公 曰 君 子 不 施 其 親 不 使 大 臣 怨 乎 不 以 故 舊 無 大 故 則 不 棄 也 無 求 備 於 一 人 。	Sách Luận Ngữ viết : Chu-Công khuyên Lỗ-Công (là con tên Bá Cầm) rằng : người quân-tử không bỏ rơi người thân, không khiến bậc đại-thần oán giận vì không trọng dụng họ, bề tôi cũ không phạm tội lớn thì đừng cách chức, chọn người đừng quá cầu toàn.
申 鑒 云 : 君 子 所 惡 乎 異 者 三 好 生 事 也 好 生 奇 也 好 變 常 也 好 生 事 則 多 端 而 動 眾 好 生 奇 則 離 道 而 惑 俗 好 變 常 則 輕 法 而 亂 度 故 名 不 貴 茍 傳 行 不 貴 茍 難 純 德 無 慝 其 上 也 伏 而 不 動 其 次 也 動 而 不 行 行 而 不 遠 遠 而 能 復 又 其 次 也 其 下 遠 而 已 矣 。	Sách Thân Giám viết : Người quân-tử ghét ba điều dị thường : thích sinh sự, thích làm chuyện quái lạ, thích thay đổi đạo thường. Thích sinh sự thì gây rắc rối làm loạn quần chúng, thích làm chuyện quái lạ thì bỏ đạo lý làm mê loạn phong tục, thích thay đổi đạo thường thì xem nhẹ luật pháp làm loạn chế độ. Nên danh không quý ở sự lan truyền, hành vi không quý ở sự gian khó. Thật đức hạnh không tà ác là bậc thượng. Hàn phục được mình mà không làm việc tà ác là bậc kế. Động tâm làm ác mà không làm, có làm mà không xa đạo lý, đã rời xa đạo lý mà có thể quay đầu hối cải là bậc kế tiếp. Bậc hạ là kẻ xa rời đạo lý mà không biết vậy.
