第 一 篇 君 道	THIÊN THỨ 1 : QUÂN ĐẠO
漢 書 云 : 自 成 康 以 來 幾 且 千 歲 欲 為 治 者 甚 眾 然 而 太 平 不 復 興 者 何 也 以 其 舍 法 度 而 任 私 意 奢 侈 行 而 仁 義 廢 也 。	Bởi vì họ đã bỏ đi pháp độ mà chỉ thích theo Ý riêng, làm việc thì xa xỉ mà phế đi nhân-nghĩa.
魏 志 云 : 夫 物 速 成 則 疾 亡 晚 就 則 善 終 朝 華 之 草 夕 而 零 落 松 柏 之 茂 隆 寒 不 衰 是 以 大 雅 君 子 惡 速 成 。	Sách Nguỵ Chí viết : Phàm vật gì phát triển quá nhanh, thì suy vong cũng nhanh. Phát triển từ từ, thì được tốt lành.
史 記 云 : 夫 榮 公 好 專 利 而 不 知 大 難 夫 利 百 物 之 所 生 也 天 地 之 所 載 也 而 有 專 之 其 害 多 矣 天 地 百 物 皆 將 取 焉 何 可 專 也 所 怒 甚 多 而 不 備 大 難 以 是 教 王 王 其 能 久 乎 。	hay chỉ tạo ra nhiều sự phẫn nộ, không biết đề phòng cái nạn lớn, rồi đi chỉ bảo vua, liệu vua có thể trụ lâu dày sao ?.
老 子 云 : 五 色 令 人 目 盲 五 音 令 人 耳 聾 五 味 令 人 口 爽 馳 騁 田 獵 令 人 心 發 狂 難 得 之 貨 令 人 行 妨 。	Sách Lão Tử viết : 5 màu khiến người mù mắt, 5 âm khiến người điếc tai, 5 mùi khiến người tê lưỡi, cưỡi ngựa săn bắn khiến lòng người phát cuồng, của cải khó được khiến người gặp nhiều tai hoạ.
尚 書 云 : 訓 有 之 內 作 色 荒 外 作 禽 荒 甘 酒 嗜 音 峻 宇 雕 牆 有 一 于 此 未 或 弗 亡 。	Sách Văn Tử viết : Vua của một nước loạn, chỉ vì chú trọng vào việc mở rộng đất đai mà không quan tâm đến nhân nghĩa, chỉ chú trọng đến địa vị cao mà không quan tâm đến đạo đức.
文 子 云 : 亂 國 之 主 務 於 廣 地 而 不 務 於 仁 義 務 於 高 位 而 不 務 於 道 德 是 舍 其 所 以 存 而 造 其 所 以 亡 也 。	Đó là bỏ đi cái còn mà tạo dựng cái mất.
漢 書 云 : 古 之 人 曰 一 夫 不 耕 或 受 之 飢 一 女 不 織 或 受 之 寒 生 之 有 時 而 用 之 無 度 則 物 力 必 屈 古 之 治 天 下 至 纖 至 悉 也 故 其 蓄 積 足 恃 。	Sách Hán Thư viết rằng : Người xưa nói rằng, một nông dân không cày thì có người bị đói, một phụ nữ không dệt thì có người bị lạnh, vạn vật sinh trưởng có thời mà dùng quá độ thì ắt sẽ cạn kiệt. Thời xưa khi trị thiên-hạ đạt đến mức nhỏ nhặt, đến mức tường tận thì sẽ tích chứa đủ (của cải, lương thực) để dự phòng.
政 要 論 云 : 修 身 治 國 也 要 莫 大 於 節 欲 傳 曰 欲 不 可 縱 歷 觀 有 家 有 國 其 得 之 也 莫 不 階 於 儉 約 其 失 之 也 莫 不 由 於 奢 侈 儉 者 節 欲 奢 者 放 情 放 情 者 危 節 欲 者 安 。	Người tiết kiệm biết tiết chế dục vọng, kẻ hoang phí thì sống phóng túng, kẻ phóng túng thì gặp nguy hiểm, người tiết chế dục vọng thì được an ổn.
抱 朴 子 云 : 禁 令 不 明 而 嚴 刑 以 靜 亂 廟 筭 不 精 而 窮 兵 以 侵 隣 猶 釤 禾 以 計 蝗 蟲 伐 木 以 殺 蛣 蝎 減 食 以 中 蚤 蝨 撤 舍 以 逐 雀 鼠 也 。	Sách Bão Phác Tử viết : Lệnh cấm không rõ ràng mà dùng hình phạt nghiêm dẹp yên động loạn, mưu tính không thoả đáng mà dùng binh lực xâm lược nước láng giềng.
漢 書 云 : 夫 聖 人 以 天 下 為 度 者 也 不 以 己 私 怒 傷 天 下 之 功 。	Sách Hán Thư viết : Là bậc thánh-nhân thì bao dung hết thiên-hạ, không vì lòng yêu ghét của mình mà gây hại đến sự thành tựu của thiên-hạ.
