Paragraph 0
第一回宴桃园豪杰三结义斩黄巾英雄首立功	Đệ nhất hồi yến đào viên hào kiệt tam kết nghĩa trảm hoàng cân anh hùng thủ lập công

Paragraph 1
滚滚长江东逝水，浪花淘尽英雄。	Cổn cổn trường giang đông thệ thủy, lãng hoa đào tẫn anh hùng.
是非成败转头空。	Thị phi thành bại chuyển đầu không.
青山依旧在，几度夕阳红。	Thanh sơn y cựu tại, kỉ độ tịch dương hồng.
白发渔樵江渚上，惯看秋月春风。	Bạch phát ngư tiều giang chử thượng, quán khán thu nguyệt xuân phong.
一壶浊酒喜相逢。	Nhất hồ trọc tửu hỉ tương phùng.
古今多少事，都付笑谈中。	Cổ kim đa thiểu sự, đô phó tiếu đàm trung. - điều kí (Lâm giang tiên)

Paragraph 2
话说天下大势，分久必合，合久必分。	Thoại thuyết thiên hạ đại thế, phân cửu tất hợp, hợp cửu tất phân.
周末七国分争，并入于秦。	Chu mạt thất quốc phân tranh, tịnh nhập vu tần.
及秦灭之后，楚、汉分争，又并入于汉。	Cập tần diệt chi hậu, sở, hán phân tranh, hựu tịnh nhập vu hán.
汉朝自高祖斩白蛇而起义，一统天下，后来光武中兴，传至献帝，遂分为三国。	Hán triều tự cao tổ trảm bạch xà nhi khởi nghĩa, nhất thống thiên hạ, hậu lai quang võ trung hưng, truyền chí hiến đế, toại phân vi tam quốc.
推其致乱之由，殆始于桓、灵二帝。	Thôi kì trí loạn chi do, đãi thủy vu hoàn, linh nhị đế.
桓帝禁锢善类，崇信宦官。	Hoàn đế cấm cố thiện loại, sùng tín hoạn quan.
及桓帝崩，灵帝即位，大将军窦武、太傅陈蕃共相辅佐。	Cập hoàn đế băng, linh đế tức vị, đại tướng quân đậu võ, thái phó trần phiền cộng tương phụ tá.
时有宦官曹节等弄权，窦武、陈蕃谋诛之，机事不密，反为所害，中涓自此愈横。	Thời hữu hoạn quan tào tiết đẳng lộng quyền, đậu võ, trần phiền mưu tru chi, cơ sự bất mật, phản vi sở hại, trung quyên tự thử dũ hoành.

Paragraph 3
建宁二年四月望日，帝御温德殿。	Kiến ninh nhị niên tứ nguyệt vọng nhật, đế ngự ôn đức điện.
方升座，殿角狂风骤起。	Phương thăng tọa, điện giác cuồng phong sậu khởi.
只见一条大青蛇，从梁上飞将下来，蟠于椅上。	Chỉ kiến nhất điều đại thanh xà, tòng lương thượng phi tương hạ lai, bàn vu y thượng.
帝惊倒，左右急救入宫，百官俱奔避。	Đế kinh đảo, tả hữu cấp cứu nhập cung, bách quan câu bôn tị.
须臾，蛇不见了。	Tu du, xà bất kiến liễu.
忽然大雷大雨，加以冰雹，落到半夜方止，坏却房屋无数。	Hốt nhiên đại lôi đại vũ, gia dĩ băng bạc, lạc đáo bán dạ phương chỉ, phôi khước phòng ốc vô số.
建宁四年二月，洛阳地震；又海水泛溢，沿海居民，尽被大浪卷入海中。	Kiến ninh tứ niên nhị nguyệt, lạc dương địa chấn; hựu hải thủy phiếm dật, duyên hải cư dân, tẫn bị đại lãng quyển nhập hải trung.
光和元年，雌鸡化雄。	Quang hòa nguyên niên, thư kê hóa hùng.
六月朔，黑气十余丈，飞入温德殿中。	Lục nguyệt sóc, hắc khí thập dư trượng, phi nhập ôn đức điện trung.
秋七月，有虹现于玉堂；五原山岸，尽皆崩裂。	Thu thất nguyệt, hữu hồng hiện vu ngọc đường; ngũ nguyên sơn ngạn, tẫn giai băng liệt.
种种不祥，非止一端。	Chủng chủng bất tường, phi chỉ nhất đoan.
帝下诏问群臣以灾异之由，议郎蔡邕上疏，以为蜺堕鸡化，乃妇寺干政之所致，言颇切直。	Đế hạ chiếu vấn quần thần dĩ tai dị chi do, nghị lang thái ung thượng sơ, dĩ vi nghê đọa kê hóa, nãi phụ tự can chánh chi sở trí, ngôn pha thiết trực.
帝览奏叹息，因起更衣。	Đế lãm tấu thán tức, nhân khởi canh y.
曹节在后窃视，悉宣告左右；遂以他事陷邕于罪，放归田里。	Tào tiết tại hậu thiết thị, sự hãm ung vu tội, phóng quy điền lí.
后张让、赵忠、封谞、段珪、曹节、侯览、蹇硕、程旷、夏恽、郭胜十人朋比为奸，号为“十常侍”。	Hậu trương nhượng, triệu trung, phong tư, đoạn khuê, tào tiết, hầu lãm, kiển thạc, trình khoáng, hạ uẩn, quách thắng thập nhân bằng bỉ vi gian, hào vi "Thập thường thị".
帝尊信张让，呼为“阿父”。	Đế tôn tín trương nhượng, hô vi "A phụ".
朝政日非，以致天下人心思乱，盗贼蜂起。	Triều chánh nhật phi, dĩ trí thiên hạ nhân tâm tư loạn, đạo tặc phong khởi. quyền chính trong nước ở tay đàn bà

Paragraph 4
时巨鹿郡有兄弟三人，一名张角，一名张宝，一名张梁。	Thời cự lộc quận hữu huynh đệ tam nhân, nhất danh trương giác, nhất danh trương bảo, nhất danh trương lương.
那张角本是个不第秀才，因入山采药，遇一老人，碧眼童颜，手执藜杖，唤角至一洞中，以天书三卷授之，曰：“此名《太平要术》，汝得之，当代天宣化，普救世人；若萌异心，必获恶报。	Na trương giác bổn thị cá bất đệ tú tài, nhân nhập sơn thải dược, ngộ nhất lão nhân, bích nhãn đồng nhan, thủ chấp lê trượng, hoán giác chí nhất động trung, dĩ thiên thư tam quyển thụ chi, viết: "Thử danh (Thái bình yếu thuật), nhữ đắc chi, đương đại thiên tuyên hóa, phổ cứu thế nhân; nhược manh dị tâm, tất hoạch ác báo.
”角拜问姓名。	" Giác bái vấn tính danh.
老人曰：“吾乃南华老仙也。	Lão nhân viết: "Ngô nãi nam hoa lão tiên dã.
”言讫，化阵清风而去。	" Ngôn cật, hóa trận thanh phong nhi khứ.
角得此书，晓夜攻习，能呼风唤雨，号为“太平道人”。	Giác đắc thử thư, hiểu dạ công tập, năng hô phong hoán vũ, hào vi "Thái bình đạo nhân".
中平元年正月内，疫气流行，张角散施符水，为人治病，自称“大贤良师”。	Trung bình nguyên niên chánh nguyệt nội, dịch khí lưu hành, trương giác tán thi phù thủy, vi nhân trị bệnh, tự xưng "Đại hiền lương sư".
角有徒弟五百余人，云游四方，皆能书符念咒。	Giác hữu đồ đệ ngũ bách dư nhân, vân du tứ phương, giai năng thư phù niệm chú.
次后徒众日多，角乃立三十六方，大方万余人，小方六七千，各立渠帅，称为将军；讹言：“苍天已死，黄天当立；岁在甲子，天下大吉。	Thứ hậu đồ chúng nhật đa, giác nãi lập tam thập lục phương, đại phương vạn dư nhân, tiểu phương lục thất thiên, các lập cừ suất, xưng vi tướng quân; ngoa ngôn: "Thương thiên dĩ tử, hoàng thiên đương lập; tuế tại giáp tử, thiên hạ đại cát.
”令人各以白土书“甲子”二字于家中大门上。	" Lệnh nhân các dĩ bạch thổ thư "Giáp tử" nhị tự vu gia trung đại môn thượng.
青、幽、徐、冀、荆、扬、兖、豫八州之人，家家侍奉大贤良师张角名字。	Thanh, u, từ, kí, kinh, dương, duyện, dự bát châu chi nhân, gia gia thị phụng đại hiền lương sư trương giác danh tự.
角遣其党马元义，暗赍金帛，结交中涓封谞，以为内应。	Giác khiển kì đảng mã nguyên nghĩa, ám tê kim bạch, kết giao trung quyên phong tư, dĩ vi nội ứng.
角与二弟商议曰：“至难得者，民心也。	Giác dữ nhị đệ thương nghị viết: "Chí nan đắc giả, dân tâm dã.
今民心已顺，若不乘势取天下，诚为可惜。	Kim dân tâm dĩ thuận, nhược bất thừa thế thủ thiên hạ, thành vi khả tích.
