Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ

Paragraph 1
却说张飞因关公放了上流水，遂引军从下流杀将来，截住曹仁混杀。	Khước thuyết trương phi nhân quan công phóng liễu thượng lưu thủy, toại dẫn quân tòng hạ lưu sát tương lai, tiệt trụ tào nhân hỗn sát.
忽遇许褚，便与交锋；许褚不敢恋战，夺路走脱。	Hốt ngộ hứa trử, tiện dữ giao phong; hứa trử bất cảm luyến chiến, đoạt lộ tẩu thoát.
张飞赶来，接着玄德、孔明，一同沿河到上流。	Trương phi cản lai, tiếp trứ huyền đức, khổng minh, nhất đồng duyên hà đáo thượng lưu.
刘封、糜芳已安排船只等候，遂一齐渡河，尽望樊城而去，孔明教将船筏放火烧毁。	Lưu phong, mi phương dĩ an bài thuyền chỉ đẳng hậu, toại nhất tề độ hà, tẫn vọng phàn thành nhi khứ, khổng minh giáo tương thuyền phiệt phóng hỏa thiêu hủy.
却说曹仁收拾残军，就新野屯住，使曹洪去见曹操，具言失利之事。	Khước thuyết tào nhân thu thập tàn quân, tựu tân dã truân trụ, sử tào hồng khứ kiến tào thao, cụ ngôn thất lợi chi sự.
操大怒曰：“诸葛村夫，安敢如此；”催动三军，漫山塞野，尽至新野下寨。	Thao đại nộ viết: "Gia Cát thôn phu, an cảm như thử;" Thôi động tam quân, mạn sơn tắc dã, tẫn chí tân dã hạ trại.
传令军士一面搜山，一面填塞白河。	Truyền lệnh quân sĩ nhất diện sưu sơn, nhất diện điền tắc bạch hà.
令大军分作八路，一齐去取樊城。	Lệnh đại quân phân tác bát lộ, nhất tề khứ thủ phàn thành.
刘晔曰：“丞相初至襄阳，必须先买民心，今刘备尽迁新野百姓入樊城，若我兵径进，二县为齑粉矣；不如先使人招降刘备。	Lưu diệp viết: "Thừa tương sơ chí tương dương, tất tu tiên mãi dân tâm, kim lưu bị tẫn thiên tân dã bách tính nhập phàn thành, nhược ngã binh kính tiến, nhị huyền vi tê phấn hĩ; bất như tiên sử nhân chiêu hàng lưu bị.
备即不降，亦可见我爱民之心；若其来降，则荆州之地，可不战而定也。	Bị tức bất hàng, diệc khả kiến ngã ái dân chi tâm; nhược kì lai hàng, tắc kinh châu chi địa, khả bất chiến nhi định dã.
”操从其言，便问：“谁可为使？	" Thao tòng kì ngôn, tiện vấn: "Thùy khả vi sử?
”刘晔曰：“徐庶与刘备至厚，今现在军中，何不命他一往？	" Lưu diệp viết: "Từ thứ dữ lưu bị chí hậu, kim hiện tại quân trung, hà bất mệnh tha nhất vãng?
”操曰：“他去恐不复来。	" Thao viết: "Tha khứ khủng bất phục lai.
”晔曰：“他若不来，贻笑于人矣。	" Diệp viết: "Tha nhược bất lai, di tiếu vu nhân hĩ.
丞相勿疑。	Thừa tương vật nghi.
”操乃召徐庶至，谓曰：“我本欲踏平樊城，奈怜众百姓之命。	" Thao nãi triệu từ thứ chí, vị viết: "Ngã bổn dục đạp bình phàn thành, nại liên chúng bách tính chi mệnh.
公可往说刘备：如肯来降，免罪赐爵；若更执迷，军民共戮，玉石俱焚。	Công khả vãng thuyết lưu bị: như khẳng lai hàng, miễn tội tứ tước; nhược canh chấp mê, quân dân cộng lục, ngọc thạch câu phần.
吾知公忠义，故特使公往。	Ngô tri công trung nghĩa, cố đặc sử công vãng.
愿勿相负。	Nguyện vật tương phụ.

Paragraph 2
徐庶受命而行。	Từ thứ thụ mệnh nhi hành.
至樊城，玄德、孔明接见，共诉旧日之情。	Chí phàn thành, huyền đức, khổng minh tiếp kiến, cộng tố cựu nhật chi tình.
庶曰：“曹操使庶来招降使君，乃假买民心也，今彼分兵八路，填白河而进。	Thứ viết: "Tào thao sử thứ lai chiêu hàng sử quân, nãi giả mãi dân tâm dã, kim bỉ phân binh bát lộ, điền bạch hà nhi tiến.
樊城恐不可守，宜速作行计。	Phàn thành khủng bất khả thủ, nghi tốc tác hành kế.
”玄德欲留徐庶。	" Huyền đức dục lưu từ thứ.
庶谢曰：“某若不还，恐惹人笑。	Thứ tạ viết: "Mỗ nhược bất hoàn, khủng nhạ nhân tiếu.
今老母已丧，抱恨终天。	Kim lão mẫu dĩ tang, bão hận chung thiên.
身虽在彼，誓不为设一谋，公有卧龙辅佐，何愁大业不成。	Thân tuy tại bỉ, thệ bất vi thiết nhất mưu, công hữu ngọa long phụ tá, hà sầu đại nghiệp bất thành.
庶请辞。	Thứ thỉnh từ.
”玄德不敢强留。	" Huyền đức bất cảm cường lưu.

Paragraph 3
徐庶辞回，见了曹操，言玄德并无降意。	Từ thứ từ hồi, kiến liễu tào thao, ngôn huyền đức tịnh vô hàng ý.
操大怒，即日进兵。	Thao đại nộ, tức nhật tiến binh.
玄德问计于孔明。	Huyền đức vấn kế vu khổng minh.
孔明曰：“可速弃樊城，取襄阳暂歇。	Khổng minh viết: "Khả tốc khí phàn thành, thủ tương dương tạm hiết.
”玄德曰：“奈百姓相随许久，安忍弃之？	" Huyền đức viết: "Nại bách tính tương tùy hứa cửu, an nhẫn khí chi?
”孔明曰：“可令人遍告百姓：有愿随者同去，不愿者留下。	" Khổng minh viết: "Khả lệnh nhân biến cáo bách tính: hữu nguyện tùy giả đồng khứ, bất nguyện giả lưu hạ.
”先使云长往江岸整顿船只，令孙乾、简雍在城中声扬曰：“今曹兵将至，孤城不可久守，百姓愿随者，便同过江。	"Tiên sử vân trường vãng giang ngạn chỉnh đốn thuyền chỉ, lệnh tôn kiền, giản ung tại thành trung thanh dương viết: "Kim tào binh tương chí, cô thành bất khả cửu thủ, bách tính nguyện tùy giả, tiện đồng quá giang.
”两县之民，齐声大呼曰：“我等虽死，亦愿随使君！	" Lưỡng huyền chi dân, tề thanh đại hô viết: "Ngã đẳng tuy tử, diệc nguyện tùy sử quân!
”即日号泣而行。	" Tức nhật hào khấp nhi hành.
扶老携幼，将男带女，滚滚渡河，两岸哭声不绝。	Phù lão huề ấu, tương nam đái nữ, cổn cổn độ hà, lưỡng ngạn khốc thanh bất tuyệt.
玄德于船上望见，大恸曰：“为吾一人而使百姓遭此大难，吾何生哉！	Huyền kiến, đại đỗng viết: "Vi ngô nhất nhân nhi sử bách tính tao thử đại nan, ngô hà sinh tai!
”欲投江而死，左右急救止。	" Dục đầu giang nhi tử, tả hữu cấp cứu chỉ.
闻者莫不痛哭。	Văn giả mạc bất thống khốc.
船到南岸，回顾百姓，有未渡者，望南而哭。	Thuyền đáo nam ngạn, hồi cố bách tính, hữu vị độ giả, vọng nam nhi khốc.
玄德急令云长催船渡之，方才上马。	Huyền đức cấp lệnh vân trường thôi thuyền độ chi, phương tài thượng mã. ta, mà để trăm họ mắc nạn lớn, ta

Paragraph 4
行至襄阳东门，只见城上遍插旌旗，壕边密布鹿角，玄德勒马大叫曰：“刘琮贤侄，吾但欲救百姓，并无他念。	Hành chí tương dương đông môn, chỉ kiến thành thượng biến sáp tinh kì, hào biên mật bố lộc giác, huyền đức lặc mã đại khiếu viết: "Lưu tông hiền chất, ngô đãn dục cứu bách tính, tịnh vô tha niệm.
可快开门。	Khả khoái khai môn.
