Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh

Paragraph 1
却说先主欲起兵东征，赵云谏曰：“国贼乃曹操，非孙权也。	Khước thuyết tiên chủ dục khởi binh đông chinh, triệu vân gián viết: "Quốc tặc nãi tào thao, phi tôn quyền dã.
今曹丕篡汉，神人共怒。	Kim tào phi soán hán, thần nhân cộng nộ.
陛下可早图关中，屯兵渭河上流，以讨凶逆，则关东义士，必裹粮策马以迎王师；若舍魏以伐吴，兵势一交，岂能骤解。	Bệ hạ khả tảo đồ quan trung, truân binh vị hà thượng lưu, dĩ thảo hung nghịch, tắc quan đông nghĩa sĩ, tất khỏa lương sách mã dĩ nghênh vương sư; nhược xá ngụy dĩ phạt ngô, binh thế nhất giao, khởi năng sậu giải.
愿陛下察之。	Nguyện bệ hạ sát chi.
”先主曰：“孙权害了朕弟；又兼傅士仁、糜芳、潘璋、马忠皆有切齿之仇：啖其肉而灭其族，方雪朕恨！	" Tiên chủ viết: "Tôn quyền hại liễu trẫm đệ; hựu kiêm phó sĩ nhân, mi phương, phan chương, mã trung giai hữu thiết xỉ chi cừu: đạm kì nhục nhi diệt kì tộc, phương tuyết trẫm hận!
卿何阻耶？	Khanh hà trở da?
”云曰：“汉贼之仇，公也；兄弟之仇，私也。	"Vân viết: "Hán tặc chi cừu, công dã; huynh đệ chi cừu, tư dã.
愿以天下为重。	Nguyện dĩ thiên hạ vi trọng.
”先主答曰：“朕不为弟报仇，虽有万里江山，何足为贵？	" Tiên chủ đáp viết: "Trẫm bất vi đệ báo cừu, tuy hữu vạn lí giang sơn, hà túc vi quý?
”遂不听赵云之谏，下令起兵伐吴；且发使往五溪，借番兵五万，共相策应；一面差使往阆中，迁张飞为车骑将军，领司隶校尉，封西乡侯，兼阆中牧。	" Toại bất thính triệu vân chi gián, hạ lệnh khởi binh phạt ngô; thả phát sử vãng ngũ khê, tá phiên trung, thiên trương phi vi xa kỵ tướng quân, lĩnh ti đãi giáo úy, phong tây hương hầu, kiêm lãng trung mục.
使命赍诏而去。	Sử mệnh tê chiếu nhi khứ.
却说张飞在阆中，闻知关公被东吴所害，旦夕号泣，血湿衣襟。	Khước thuyết trương phi tại lãng trung, văn tri quan công bị đông ngô sở hại, đán tịch hào khấp, huyết thấp y khâm.
诸将以酒解劝，酒醉，怒气愈加。	Chư tướng dĩ tửu giải khuyến, tửu túy, nộ khí dũ gia.
帐上帐下，但有犯者即鞭挞之；多有鞭死者。	Trướng thượng trướng hạ, đãn hữu phạm giả tức tiên thát chi; đa hữu tiên tử giả.
每日望南切齿睁目怒恨，放声痛哭不已。	Mỗi nhật vọng nam thiết xỉ tĩnh mục nộ hận, phóng thanh thống khốc bất dĩ.
忽报使至，慌忙接入，开读诏旨。	Hốt báo sử chí, hoảng mang tiếp nhập, khai độc chiếu chỉ.
飞受爵望北拜毕，设酒款待来使。	Phi thụ tước vọng bắc bái tất, thiết tửu khoản đãi lai sử.
飞曰：“吾兄被害，仇深似海；庙堂之臣，何不早奏兴兵？	Phi viết: "Ngô huynh bị hại, cừu thâm tự hải; miếu đường chi thần, hà bất tảo tấu hưng binh?
”使者曰：“多有劝先灭魏而后伐吴者。	" Sứ giả viết: "Đa hữu khuyến tiên diệt ngụy nhi hậu phạt ngô giả.
”飞怒曰：“是何言也！	" Phi nộ viết: "Thị hà ngôn dã!
昔我三人桃园结义，誓同生死；今不幸二兄半途而逝，吾安得独享富贵耶！	Tích ngã tam nhân đào viên kết nghĩa, thệ đồng sinh tử; kim bất hạnh nhị huynh bán đồ nhi thệ, ngô an đắc độc hưởng phú quý da!
吾当面见天子，愿为前部先锋，挂孝伐吴，生擒逆贼，祭告二兄，以践前盟！	Ngô đương diện kiến thiên tử, nguyện vi tiền bộ tiên phong, quải hiếu phạt ngô, sinh cầm nghịch tặc, tế cáo nhị huynh, dĩ tiễn tiền minh!
”言讫，就同使命望成都而来。	" Ngôn cật, tựu đồng sử mệnh vọng thành đô nhi lai.
却说先主每日自下教场操演军马，克日兴师，御驾亲征。于是公卿都至丞相府中见孔明，曰：“今天子初临大位，亲统军伍，非所以重社稷也。	Khước thuyết tiên chủ mỗi nhật tự hạ giáo trường thao diễn quân mã, khắc nhật hưng sư, khanh đô chí thừa tương phủ trung kiến khổng minh, viết: "Kim thiên tử sơ lâm đại vị, thân thống quân ngũ, phi sở dĩ trọng xã tắc dã.
丞相秉钧衡之职，何不规谏？	Thừa tương bỉnh quân hành chi chức, hà bất quy gián?
”孔明曰：“吾苦谏数次，只是不听。	" Khổng minh viết: "Ngô khổ gián sổ thứ, chỉ thị bất thính.
今日公等随我入教场谏去。	Kim nhật công đẳng tùy ngã nhập giáo trường gián khứ.
”当下孔明引百官来奏先主曰：“陛下初登宝位，若欲北讨汉贼，以伸大义于天下，方可亲统六师；若只欲伐吴，命一上将统军伐之可也，何必亲劳圣驾？	" Đương hạ khổng minh dẫn bách quan lai tấu tiên chủ viết: "Bệ hạ sơ đăng bảo vị, nhược dục bắc thảo hán tặc, dĩ thân đại nghĩa vu thiên hạ, phương khả thân thống lục sư; nhược chỉ dục phạt ngô, mệnh nhất thượng tương thống quân phạt chi khả dã, hà tất thân lao thánh giá?
”先主见孔明苦谏，心中稍回。	" Tiên chủ kiến khổng minh khổ gián, tâm trung sảo hồi.
忽报张飞到来，先主急召入。	Hốt báo trương phi đáo lai, tiên chủ cấp triệu nhập.
飞至演武厅拜伏于地，抱先主足而哭。	Phi chí diễn võ thính bái phục vu địa, bão tiên chủ túc nhi khốc.
先主亦哭。	Tiên chủ diệc khốc.
飞曰：“陛下今日为君，早忘了桃园之誓！	Phi viết: "Bệ hạ kim nhật vi quân, tảo vong liễu đào viên chi thệ!
二兄之仇，如何不报？	Nhị huynh chi cừu, như hà bất báo?
”先主曰：“多官谏阻，未敢轻举。	" Tiên chủ viết: "Đa quan gián trở, vị cảm khinh cử.
”飞曰：“他人岂知昔日之盟？	" Phi viết: "Tha nhân khởi tri tích nhật chi minh?
若陛下不去，臣舍此躯与二兄报仇！	Nhược bệ hạ bất khứ, thần xá thử khu dữ nhị huynh báo cừu!
若不能报时，臣宁死不见陛下也！	Nhược bất năng báo thời, thần ninh tử bất kiến bệ hạ dã!
”先主曰：“朕与卿同往：卿提本部兵自阆州而出，朕统精兵会于江州，共伐东吴，以雪此恨！	" Tiên chủ viết: "Trẫm dữ khanh đồng vãng: khanh đề bổn bộ binh tự lãng binh hội vu giang châu, cộng phạt đông ngô, dĩ tuyết thử hận!
”飞临行，先主嘱曰：“朕素知卿酒后暴怒，鞭挞健儿，而复令在左右：此取祸之道也。	"Phi lâm hành, tiên chủ chúc viết: "Trẫm tố tri khanh tửu hậu bạo nộ, tiên thát kiện nhi, nhi phục lệnh tại tả hữu: thử thủ họa chi đạo dã.
今后务宜宽容，不可如前。	Kim hậu vụ nghi khoan dung, bất khả như tiền.
”飞拜辞而去。	"Phi bái từ nhi khứ.
次日，先主整兵要行。	Thứ nhật, tiên chủ chỉnh binh yếu hành.
学士秦宓奏曰：“陛下舍万乘之躯，而徇小义，古人所不取也。	Học sĩ tần mật tấu viết: "Bệ hạ xá vạn thừa chi khu, nhi tuẫn tiểu nghĩa, cổ nhân sở bất thủ dã.
愿陛下思之。	Nguyện bệ hạ tư chi.
”先主曰：“云长与朕，犹一体也。	" Tiên chủ viết: "Vân trường dữ trẫm, do nhất thể dã.
大义尚在，岂可忘耶？	Đại nghĩa thượng tại, khởi khả vong da?
